candidate,n_samples,mi_mean_nats,mi_sd_nats,n_repeats
FSH_day_64,389,0.1687585900341178,9.730298868281309e-16,5
PGF_day_64,100,0.12646269472331378,0.08643153305943087,5
PGF_day_64,200,0.18909698608987605,0.041088615537640275,5
PGF_day_64,300,0.19692796902550516,0.03276274507634838,5
PGF_day_64,389,0.18422017328664636,7.43207042519283e-16,5
P4_day_64,100,0.14738347807063706,0.09125497140038694,5
P4_day_64,200,0.14385626355559822,0.071571582946044,5
P4_day_64,300,0.1622731858217586,0.0199811669475126,5
P4_day_64,389,0.14566167440123987,4.865149434140654e-16,5
E2_day_64,100,0.13528894577720169,0.04368494442803489,5
E2_day_64,200,0.164138110202917,0.02324864543771602,5
E2_day_64,300,0.16113986877563297,0.03770444363032789,5
E2_day_64,389,0.18239190920338455,0.0,5
INH_day_64,100,0.1423945643415788,0.06580807783406782,5
INH_day_64,200,0.18866145349362692,0.04188899170297901,5
INH_day_64,300,0.18309436958487577,0.029382334235870573,5
INH_day_64,389,0.1869366172932228,9.730298868281309e-16,5
IGF1_day_64,100,0.2653163199519433,0.030123934846454176,5
IGF1_day_64,200,0.2662610359373222,0.049563089877285256,5
IGF1_day_64,300,0.25017503309150174,0.026469448740108075,5
IGF1_day_64,389,0.2728756018557501,0.0,5
Insulin_day_64,100,0.23806754125313584,0.045279683276955175,5
Insulin_day_64,200,0.3165001715623236,0.052050638578221266,5
Insulin_day_64,300,0.33543252396634565,0.04478070220776888,5
Insulin_day_64,389,0.3546728412512444,3.973993651728112e-16,5
Glucose_day_64,100,0.16506765732258266,0.0595388481177196,5
Glucose_day_64,200,0.2081410095234501,0.03127522165935897,5
Glucose_day_64,300,0.19751407183307101,0.011876092496055903,5
Glucose_day_64,389,0.182360371957909,0.0,5
Glucagon_day_64,100,0.0,0.0,5
Glucagon_day_64,200,0.012502480880364254,0.011283371927408394,5
Glucagon_day_64,300,0.018244919761971977,0.017941044747873836,5
Glucagon_day_64,389,0.019100467693484724,0.0,5
all_species_day_65,100,0.4034761958148385,0.021245963126087362,5
all_species_day_65,200,0.5787428484436477,0.030019635657346916,5
all_species_day_65,300,0.6584413644804213,0.005535870162993536,5
all_species_day_65,389,0.7242586999066294,0.0,5
FSH_day_65,100,0.0976908117382255,0.04993310352364824,5
FSH_day_65,200,0.14294375870198603,0.039154291278447356,5
FSH_day_65,300,0.1638563663105904,0.03126831056072871,5
FSH_day_65,389,0.17591387916717238,0.0,5
PGF_day_65,100,0.16434845718637323,0.07105898759893636,5
PGF_day_65,200,0.15218158815594993,0.0394410600541915,5
PGF_day_65,300,0.164587722184379,0.01827951053185638,5
PGF_day_65,389,0.18389850419544942,7.944351721668025e-16,5
P4_day_65,100,0.1645961086567814,0.04163142469738793,5
P4_day_65,200,0.14675268999708865,0.026992052783388374,5
P4_day_65,300,0.15559217814692552,0.016697467442828774,5
P4_day_65,389,0.17552864620018055,3.973993651728112e-16,5
E2_day_65,100,0.1629351540293559,0.016583663698174187,5
E2_day_65,200,0.11720696468874454,0.023831473202996233,5
E2_day_65,300,0.13110619058101386,0.03305283878908143,5
E2_day_65,389,0.13287263112200254,0.0,5
INH_day_65,100,0.13792416385372555,0.08267776370743737,5
INH_day_65,200,0.15183630781470522,0.05329269624429447,5
INH_day_65,300,0.11205078953894602,0.032392184154125675,5
INH_day_65,389,0.12409905111000175,6.280369834735101e-16,5
IGF1_day_65,100,0.22009433950524357,0.06897883978587672,5
IGF1_day_65,200,0.23259198793147853,0.05292336031773242,5
IGF1_day_65,300,0.21249512516614785,0.03350594399802558,5
IGF1_day_65,389,0.23935763934522408,9.730298868281309e-16,5
Insulin_day_65,100,0.27953450391180185,0.0870759872259126,5
Insulin_day_65,200,0.33800440046209684,0.0596193420679864,5
Insulin_day_65,300,0.33254750143459066,0.0447663383199739,5
Insulin_day_65,389,0.3546728412512444,3.973993651728112e-16,5
Glucose_day_65,100,0.18147642396187322,0.06583355765223001,5
Glucose_day_65,200,0.17275014362900248,0.017865079575451408,5
Glucose_day_65,300,0.20029233348259953,0.0060667917620623865,5
Glucose_day_65,389,0.182360371957909,0.0,5
Glucagon_day_65,100,0.025214236846323602,0.026568013213095504,5
Glucagon_day_65,200,0.008538651999773527,0.01909300630770813,5
Glucagon_day_65,300,0.018742676111721222,0.015954314509198396,5
Glucagon_day_65,389,0.019100467693484724,0.0,5
all_species_day_66,100,0.511871644275599,0.02739960022944316,5
all_species_day_66,200,0.6935664296164784,0.02302399546203606,5
all_species_day_66,300,0.780936151519203,0.0188966013119981,5
all_species_day_66,389,0.8430363251497213,4.002966042486721e-16,5
FSH_day_66,100,0.1382235075153872,0.07992359561790982,5
FSH_day_66,200,0.15942955045694518,0.03131010460067033,5
FSH_day_66,300,0.18435763094983226,0.02854890453325095,5
FSH_day_66,389,0.16521153378268352,4.865149434140654e-16,5
PGF_day_66,100,0.1491481143150688,0.07924377474726971,5
PGF_day_66,200,0.16150169632204978,0.0254662511839879,5
PGF_day_66,300,0.18859602214173635,0.009147093930796601,5
PGF_day_66,389,0.18612341481235556,3.973993651728112e-16,5
P4_day_66,100,0.14042887663412795,0.031150486113572948,5
P4_day_66,200,0.2078723325370108,0.07981446923523651,5
P4_day_66,300,0.18454632394144993,0.031977985848284166,5
P4_day_66,389,0.18529072686191767,9.730298868281309e-16,5
E2_day_66,100,0.14960712609600346,0.04208495010609045,5
E2_day_66,200,0.18065395977507706,0.06726736486867102,5
E2_day_66,300,0.2156529638548717,0.03527465439297595,5
E2_day_66,389,0.19571801318365695,3.973993651728112e-16,5
INH_day_66,100,0.1418522902533544,0.04970921120895099,5
INH_day_66,200,0.1985594193960008,0.051295396143530264,5
INH_day_66,300,0.16068022276570523,0.030529203058547533,5
