candidate,columns,n_columns,n_samples,mi_nats
FSH_day_89,FSH_day_89,1,389,0.1977260532525511
INH_day_59,INH_day_59,1,389,0.19766133044914458
FSH_day_71,FSH_day_71,1,389,0.197620604051429
INH_day_67,INH_day_67,1,389,0.1974707683017929
IGF1_day_70,IGF1_day_70,1,389,0.19719684653237035
E2_day_58,E2_day_58,1,389,0.1971765308926292
PGF_day_87,PGF_day_87,1,389,0.197141372205051
PGF_day_71,PGF_day_71,1,389,0.19700136530388868
P4_day_61,P4_day_61,1,389,0.1968403274202446
E2_day_75,E2_day_75,1,389,0.1966988091995434
PGF_day_69,PGF_day_69,1,389,0.19656600982875183
E2_day_66,E2_day_66,1,389,0.1957180131836571
FSH_day_81,FSH_day_81,1,389,0.19512645647352578
FSH_day_70,FSH_day_70,1,389,0.19487948901181618
E2_day_72,E2_day_72,1,389,0.19482995930166513
INH_day_66,INH_day_66,1,389,0.1945669970830659
INH_day_71,INH_day_71,1,389,0.19454586138942176
PGF_day_70,PGF_day_70,1,389,0.19420397033839265
PGF_day_86,PGF_day_86,1,389,0.19395731110029324
INH_day_57,INH_day_57,1,389,0.19350662943837893
FSH_day_84,FSH_day_84,1,389,0.19333896323106892
INH_day_79,INH_day_79,1,389,0.19322000487134883
E2_day_87,E2_day_87,1,389,0.1923004655229068
INH_day_88,INH_day_88,1,389,0.19216559765448782
P4_day_83,P4_day_83,1,389,0.19183378674949125
FSH_day_74,FSH_day_74,1,389,0.19172725102974741
INH_day_75,INH_day_75,1,389,0.19156334182342416
P4_day_62,P4_day_62,1,389,0.19139502061144853
INH_day_58,INH_day_58,1,389,0.19119974825162078
P4_day_82,P4_day_82,1,389,0.1911285889927088
FSH_day_59,FSH_day_59,1,389,0.19049582858716896
E2_day_77,E2_day_77,1,389,0.1904024677642182
INH_day_77,INH_day_77,1,389,0.19029120084117324
E2_day_88,E2_day_88,1,389,0.18991855014493808
PGF_day_62,PGF_day_62,1,389,0.18954657748681125
P4_day_87,P4_day_87,1,389,0.1889534153728345
IGF1_day_83,IGF1_day_83,1,389,0.18874746632825357
PGF_day_63,PGF_day_63,1,389,0.18870696378356033
INH_day_89,INH_day_89,1,389,0.18836070553079676
PGF_day_60,PGF_day_60,1,389,0.1882362510190081
PGF_day_88,PGF_day_88,1,389,0.18799814884384247
PGF_day_67,PGF_day_67,1,389,0.18761786201936026
PGF_day_90,PGF_day_90,1,389,0.18741816906913034
FSH_day_83,FSH_day_83,1,389,0.18741529820853042
INH_day_64,INH_day_64,1,389,0.18693661729322208
PGF_day_74,PGF_day_74,1,389,0.18653316261944752
IGF1_day_73,IGF1_day_73,1,389,0.18624360907353932
PGF_day_66,PGF_day_66,1,389,0.1861234148123554
E2_day_86,E2_day_86,1,389,0.1860500283878581
PGF_day_61,PGF_day_61,1,389,0.18578299529115938
E2_day_60,E2_day_60,1,389,0.18565773473266312
FSH_day_86,FSH_day_86,1,389,0.1856226348262089
PGF_day_58,PGF_day_58,1,389,0.18543963662134733
INH_day_90,INH_day_90,1,389,0.18529164508671503
P4_day_66,P4_day_66,1,389,0.1852907268619175
PGF_day_85,PGF_day_85,1,389,0.1844141835425379
FSH_day_56,FSH_day_56,1,389,0.18434198744096975
PGF_day_64,PGF_day_64,1,389,0.1842201732866462
PGF_day_65,PGF_day_65,1,389,0.18389850419544906
INH_day_74,INH_day_74,1,389,0.1837220262193897
FSH_day_62,FSH_day_62,1,389,0.1834385968792578
PGF_day_83,PGF_day_83,1,389,0.18339701315402568
P4_day_84,P4_day_84,1,389,0.18334914004432434
PGF_day_84,PGF_day_84,1,389,0.18303009048850782
E2_day_64,E2_day_64,1,389,0.18239190920338455
Glucose_day_55,Glucose_day_55,1,389,0.182360371957909
Glucose_day_77,Glucose_day_77,1,389,0.182360371957909
Glucose_day_83,Glucose_day_83,1,389,0.182360371957909
Glucose_day_90,Glucose_day_90,1,389,0.182360371957909
Glucose_day_78,Glucose_day_78,1,389,0.182360371957909
Glucose_day_60,Glucose_day_60,1,389,0.182360371957909
Glucose_day_58,Glucose_day_58,1,389,0.182360371957909
Glucose_day_79,Glucose_day_79,1,389,0.182360371957909
Glucose_day_85,Glucose_day_85,1,389,0.182360371957909
Glucose_day_84,Glucose_day_84,1,389,0.182360371957909
Glucose_day_80,Glucose_day_80,1,389,0.182360371957909
Glucose_day_82,Glucose_day_82,1,389,0.182360371957909
Glucose_day_59,Glucose_day_59,1,389,0.182360371957909
Glucose_day_81,Glucose_day_81,1,389,0.182360371957909
Glucose_day_66,Glucose_day_66,1,389,0.182360371957909
Glucose_day_88,Glucose_day_88,1,389,0.182360371957909
Glucose_day_61,Glucose_day_61,1,389,0.182360371957909
Glucose_day_63,Glucose_day_63,1,389,0.182360371957909
Glucose_day_73,Glucose_day_73,1,389,0.182360371957909
Glucose_day_62,Glucose_day_62,1,389,0.182360371957909
Glucose_day_89,Glucose_day_89,1,389,0.182360371957909
Glucose_day_56,Glucose_day_56,1,389,0.182360371957909
Glucose_day_71,Glucose_day_71,1,389,0.182360371957909
Glucose_day_74,Glucose_day_74,1,389,0.182360371957909
Glucose_day_87,Glucose_day_87,1,389,0.182360371957909
Glucose_day_70,Glucose_day_70,1,389,0.182360371957909
Glucose_day_64,Glucose_day_64,1,389,0.182360371957909
Glucose_day_72,Glucose_day_72,1,389,0.182360371957909
Glucose_day_75,Glucose_day_75,1,389,0.182360371957909
Glucose_day_69,Glucose_day_69,1,389,0.182360371957909
Glucose_day_68,Glucose_day_68,1,389,0.182360371957909
Glucose_day_65,Glucose_day_65,1,389,0.182360371957909
Glucose_day_57,Glucose_day_57,1,389,0.182360371957909
Glucose_day_76,Glucose_day_76,1,389,0.182360371957909
Glucose_day_67,Glucose_day_67,1,389,0.182360371957909
Glucose_day_86,Glucose_day_86,1,389,0.182360371957909
INH_day_81,INH_day_81,1,389,0.18137035768479315
PGF_day_89,PGF_day_89,1,389,0.18084385244460588
FSH_day_77,FSH_day_77,1,389,0.1805787392333036
INH_day_82,INH_day_82,1,389,0.1804623827639915
INH_day_83,INH_day_83,1,389,0.17944228682092334
IGF1_day_87,IGF1_day_87,1,389,0.17899393616415438
INH_day_63,INH_day_63,1,389,0.1785456470774669
E2_day_73,E2_day_73,1,389,0.17752070883299176
FSH_day_55,FSH_day_55,1,389,0.17749951060896407
E2_day_80,E2_day_80,1,389,0.17684350782078706
PGF_day_59,PGF_day_59,1,389,0.17660834096285694
FSH_day_75,FSH_day_75,1,389,0.1763114937448078
FSH_day_65,FSH_day_65,1,389,0.17591387916717238
INH_day_80,INH_day_80,1,389,0.1757370770158051
P4_day_65,P4_day_65,1,389,0.17552864620018127
INH_day_78,INH_day_78,1,389,0.17518880673050763
INH_day_73,INH_day_73,1,389,0.17508328112914295
INH_day_55,INH_day_55,1,389,0.17409306381633183
FSH_day_72,FSH_day_72,1,389,0.1735142568006589
FSH_day_82,FSH_day_82,1,389,0.17338479933011008
FSH_day_58,FSH_day_58,1,389,0.1733819153482017
E2_day_74,E2_day_74,1,389,0.17330797408814114
E2_day_62,E2_day_62,1,389,0.17312038871633018
IGF1_day_82,IGF1_day_82,1,389,0.17209980672909797
INH_day_84,INH_day_84,1,389,0.17145989052402477
INH_day_85,INH_day_85,1,389,0.16946197907008642
E2_day_63,E2_day_63,1,389,0.16935055148687983
E2_day_57,E2_day_57,1,389,0.16920234790650568
FSH_day_64,FSH_day_64,1,389,0.16875859003411886
IGF1_day_60,IGF1_day_60,1,389,0.16795912866327356
E2_day_85,E2_day_85,1,389,0.1678676140142228
FSH_day_66,FSH_day_66,1,389,0.16521153378268405
FSH_day_67,FSH_day_67,1,389,0.16410034457130962
INH_day_60,INH_day_60,1,389,0.16153951015366008
IGF1_day_66,IGF1_day_66,1,389,0.1615039588344196
FSH_day_61,FSH_day_61,1,389,0.15800717063358238
PGF_day_76,PGF_day_76,1,389,0.15776264896032632
E2_day_59,E2_day_59,1,389,0.15753715337160834
INH_day_56,INH_day_56,1,389,0.15653553707140855
P4_day_86,P4_day_86,1,389,0.15586045100274237
INH_day_61,INH_day_61,1,389,0.14983637264207683
PGF_day_72,PGF_day_72,1,389,0.1475942315166865
P4_day_64,P4_day_64,1,389,0.14566167440124023
FSH_day_60,FSH_day_60,1,389,0.14383084139146352
INH_day_62,INH_day_62,1,389,0.14004079644480427
E2_day_65,E2_day_65,1,389,0.13287263112200343
IGF1_day_74,IGF1_day_74,1,389,0.13103764522875228
INH_day_65,INH_day_65,1,389,0.12409905111000175
PGF_day_80,PGF_day_80,1,389,0.10933201791284208
E2_day_56,E2_day_56,1,389,0.09914071072683228
FSH_day_85,FSH_day_85,1,389,0.090885836304885
IGF1_day_81,IGF1_day_81,1,389,0.05716290174855043
IGF1_day_78,IGF1_day_78,1,389,0.05531932334010303
IGF1_day_59,IGF1_day_59,1,389,0.05494944422429793
IGF1_day_58,IGF1_day_58,1,389,0.054190918307559066
IGF1_day_79,IGF1_day_79,1,389,0.05157790973351961
IGF1_day_80,IGF1_day_80,1,389,0.050361851386923284
PGF_day_77,PGF_day_77,1,389,0.049855835905603385
FSH_day_76,FSH_day_76,1,389,0.048837008916211566
IGF1_day_76,IGF1_day_76,1,389,0.047088562215339635
IGF1_day_55,IGF1_day_55,1,389,0.046919679285181815
PGF_day_78,PGF_day_78,1,389,0.04654606877041623
PGF_day_79,PGF_day_79,1,389,0.046112047118104904
INH_day_72,INH_day_72,1,389,0.04472582047360962
IGF1_day_77,IGF1_day_77,1,389,0.0443770641652792
IGF1_day_57,IGF1_day_57,1,389,0.043745138943593886
INH_day_87,INH_day_87,1,389,0.03978161875135555
IGF1_day_75,IGF1_day_75,1,389,0.03655382381324568
PGF_day_73,PGF_day_73,1,389,0.035659102145323196
E2_day_71,E2_day_71,1,389,0.03035650189667738
IGF1_day_56,IGF1_day_56,1,389,0.02951020702189222
E2_day_84,E2_day_84,1,389,0.02518153891879482
PGF_day_55,PGF_day_55,1,389,0.022107719001982495
Glucagon_day_65,Glucagon_day_65,1,389,0.019100467693484724
Glucagon_day_66,Glucagon_day_66,1,389,0.019100467693484724
Glucagon_day_67,Glucagon_day_67,1,389,0.019100467693484724
Glucagon_day_68,Glucagon_day_68,1,389,0.019100467693484724
Glucagon_day_89,Glucagon_day_89,1,389,0.019100467693484724
Glucagon_day_64,Glucagon_day_64,1,389,0.019100467693484724
Glucagon_day_63,Glucagon_day_63,1,389,0.019100467693484724
Glucagon_day_69,Glucagon_day_69,1,389,0.019100467693484724
Glucagon_day_62,Glucagon_day_62,1,389,0.019100467693484724
Glucagon_day_61,Glucagon_day_61,1,389,0.019100467693484724
Glucagon_day_57,Glucagon_day_57,1,389,0.019100467693484724
Glucagon_day_60,Glucagon_day_60,1,389,0.019100467693484724
Glucagon_day_59,Glucagon_day_59,1,389,0.019100467693484724
Glucagon_day_58,Glucagon_day_58,1,389,0.019100467693484724
Glucagon_day_88,Glucagon_day_88,1,389,0.019100467693484724
Glucagon_day_74,Glucagon_day_74,1,389,0.019100467693484724
Glucagon_day_70,Glucagon_day_70,1,389,0.019100467693484724
Glucagon_day_56,Glucagon_day_56,1,389,0.019100467693484724
Glucagon_day_55,Glucagon_day_55,1,389,0.019100467693484724
Glucagon_day_84,Glucagon_day_84,1,389,0.019100467693484724
Glucagon_day_82,Glucagon_day_82,1,389,0.019100467693484724
Glucagon_day_81,Glucagon_day_81,1,389,0.019100467693484724
Glucagon_day_80,Glucagon_day_80,1,389,0.019100467693484724
Glucagon_day_79,Glucagon_day_79,1,389,0.019100467693484724
Glucagon_day_85,Glucagon_day_85,1,389,0.019100467693484724
Glucagon_day_78,Glucagon_day_78,1,389,0.019100467693484724
Glucagon_day_77,Glucagon_day_77,1,389,0.019100467693484724
Glucagon_day_86,Glucagon_day_86,1,389,0.019100467693484724
Glucagon_day_76,Glucagon_day_76,1,389,0.019100467693484724
Glucagon_day_75,Glucagon_day_75,1,389,0.019100467693484724
Glucagon_day_83,Glucagon_day_83,1,389,0.019100467693484724
Glucagon_day_87,Glucagon_day_87,1,389,0.019100467693484724
Glucagon_day_73,Glucagon_day_73,1,389,0.019100467693484724
Glucagon_day_72,Glucagon_day_72,1,389,0.019100467693484724
Glucagon_day_71,Glucagon_day_71,1,389,0.019100467693484724
Glucagon_day_90,Glucagon_day_90,1,389,0.019100467693484724
PGF_day_56,PGF_day_56,1,389,0.00525010443782481
PGF_day_57,PGF_day_57,1,389,0.003548393904588387
