parameter,output,metric,nominal_value,base_metric,perturbed_metric,relative_sensitivity
igf_clearance,CL,AUC,1.7,44.47711481761466,44.38667373398593,-0.20334296412795738
glucagon_glucose_threshold,E2,AUC,0.5,16.842271088140375,16.808529911794686,-0.20033626207007385
insulin_lh_scale,Follicle,AUC,1.05,19.277313178356533,19.238759977485355,-0.19999260537232486
iof_clearance,CL,AUC,0.298,44.47711481761466,44.5622557547303,0.19142639414623225
hp_lh_follicle_scale,Follicle,AUC,3.49,19.277313178356533,19.240444303402995,-0.1912552574750488
insulin_lh_threshold,P4,AUC,16.0,55.24403546337959,55.14034205800196,-0.18770063502396223
hm_ih_2_threshold,CL,AUC,0.118,44.47711481761466,44.39452086077833,-0.18569989797005323
hm_ih_2_threshold,Follicle,AUC,0.118,19.277313178356533,19.31259122978735,0.1830029480997737
hm_p4_igf_scale,E2,AUC,2.5,16.842271088140375,16.811515511560586,-0.18260943799584206
insulin_igf_scale,E2,AUC,0.4,16.842271088140375,16.811515511560643,-0.18260943799550455
hp_oxt_pg_threshold,P4,AUC,1.087,55.24403546337959,55.344165495938455,0.18125039512227617
fsh_basal_release,P4,AUC,0.948,55.24403546337959,55.14438097949443,-0.18038958061132213
glucagon_clearance,CL,AUC,350.87,44.47711481761466,44.39702053142004,-0.18007977028874658
follicle_to_inhibin_scale,Follicle,AUC,1.41,19.277313178356533,19.242644995566927,-0.17983928812511615
blood_usage_max,CL,AUC,1000.0,44.47711481761466,44.3980764404479,-0.1777057201009324
e2_clearance,Follicle,AUC,1.23,19.277313178356533,19.311460287223216,0.17713624585931415
lh_clearance,CL,AUC,2.0,44.47711481761466,44.399305755553016,-0.17494179283147054
hp_e2_lh_scale,E2,AUC,0.376,16.842271088140375,16.812935357104344,-0.17417918808282556
liver_usage_rate,CL,AUC,5.0,44.47711481761466,44.400404891875496,-0.17247055267349815
blood_usage_max,Follicle,AUC,1000.0,19.277313178356533,19.30995224168835,0.16931334273524656
hp_p4_follicle_scale,Follicle,AUC,1.1,19.277313178356533,19.24474376059051,-0.16895206019991552
hp_e2_lh_threshold,E2,AUC,0.243,16.842271088140375,16.870370639546667,0.16683944379733212
inhibin_clearance,Follicle,AUC,0.475,19.277313178356533,19.309313413779307,0.16599945815427575
blood_to_liver_glucose_threshold,P4,AUC,0.45,55.24403546337959,55.335653250145285,0.16584195198127324
insulin_lh_scale,CL,AUC,1.05,44.47711481761466,44.55071570515382,0.16548035510165063
hp_lh_follicle_scale,CL,AUC,3.49,44.47711481761466,44.54926550075752,0.1622197919957793
insulin_clearance,CL,AUC,2105.0,44.47711481761466,44.406307509836175,-0.1591994176529746
fsh_clearance,P4,AUC,2.73,55.24403546337959,55.15700181499756,-0.15754397312217655
blood_to_liver_glucose_threshold,Glucose,AUC,0.45,42.87980691299765,42.947354228133804,0.15752709724930722
cl_formation_scale,IGF1,AUC,0.4,29.40509795337114,29.359011217605435,-0.15673042762444359
lh_clearance,P4,AUC,2.0,55.24403546337959,55.157492525947205,-0.15665571261489722
hp_e2_oxt_scale,P4,AUC,1.59,55.24403546337959,55.15789335448453,-0.15593015277126696
hm_ih_2_threshold,E2,AUC,0.118,16.842271088140375,16.867812622503436,0.15165136714279723
glucagon_clearance,Follicle,AUC,350.87,19.277313178356533,19.30653515533836,0.15158739556420903
hm_p4_lh_threshold,Follicle,AUC,0.0269,19.277313178356533,19.248742797947205,-0.14820727424506724
follicle_to_inhibin_scale,E2,AUC,1.41,16.842271088140375,16.817326506761873,-0.14810699369437913
glucagon_secretion_max,Follicle,AUC,70182.0,19.277313178356533,19.248782723103247,-0.14800016469783792
igf_basal_release,E2,AUC,0.4,16.842271088140375,16.817658102952056,-0.14613816070002048
cl_to_p4_scale,IGF1,AUC,2.25,29.40509795337114,29.36268936180204,-0.14422190205367963
hepatic_glucose_release,Follicle,AUC,0.0684,19.277313178356533,19.249569472525145,-0.14391894541888878
e2_clearance,P4,AUC,1.23,55.24403546337959,55.323189478017625,0.14328065278740468
liver_usage_rate,Follicle,AUC,5.0,19.277313178356533,19.30472425505321,0.1421934501092819
lh_clearance,E2,AUC,2.0,16.842271088140375,16.866068962010544,0.14129848489926428
glucagon_glucose_threshold,Follicle,AUC,0.5,19.277313178356533,19.250260380970754,-0.1403348959239376
hm_p4_lh_threshold,CL,AUC,0.0269,44.47711481761466,44.53919767241676,0.13958381755804064
hp_gnrh_lh_scale,E2,AUC,2.22,16.842271088140375,16.818885753431793,-0.13884905774405285
hp_e2_oxt_threshold,P4,AUC,0.143,55.24403546337959,55.31962317489558,0.13682510859674477
blood_to_liver_max,CL,AUC,50.0,44.47711481761466,44.416330574129404,-0.13666408833961877
igf_clearance,P4,AUC,1.7,55.24403546337959,55.1701210257778,-0.1337962315421054
hp_gnrh_lh_threshold,P4,AUC,0.69,55.24403546337959,55.31622515666335,0.1306741853274175
blood_to_liver_max,E2,AUC,50.0,16.842271088140375,16.863991855873074,0.12896578863401498
insulin_secretion_max,P4,AUC,84211.0,55.24403546337959,55.314809309547435,0.1281112894346049
p4_clearance,Follicle,AUC,1.41,19.277313178356533,19.252673580250757,-0.12781655761778637
