parameter,day,n_biomarkers,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
blood_to_liver_glucose_threshold,65,1,Glucose,49978.95264641633,0.9995790529283266,0.000168117719468,0.0001679829792985,0.0008014632246176,0.0404292738221117,0.0404261313406267,7.772787358850675e-05,uniform
blood_to_liver_glucose_threshold,65,2,Glucose|Glucagon,48683.42975988946,0.9736685951977893,0.000168117719468,0.000168004148026,0.0006755471251507,0.0404292738221117,0.040428628307282,1.5966520508947646e-05,uniform
blood_to_liver_glucose_threshold,65,3,Glucose|Glucagon|INH,2689.0973913302905,0.0537819478266058,0.000168117719468,0.0001645939518265,0.0209601204004376,0.0404292738221117,0.0398248999885753,0.0149489163766725,informative
blood_to_liver_glucose_threshold,65,4,Glucose|Glucagon|INH|E2,1263.2837730656363,0.0252656754613127,0.000168117719468,0.0001578089961707,0.0613184816564178,0.0404292738221117,0.039297869282582,0.0279847850967547,informative
blood_to_liver_glucose_threshold,65,5,Glucose|Glucagon|INH|E2|IGF1,912.7589652977188,0.0182551793059543,0.000168117719468,0.0001552769640591,0.0763795479119578,0.0404292738221117,0.0392147190248752,0.0300414695198446,collapsed
blood_to_liver_glucose_threshold,65,6,Glucose|Glucagon|INH|E2|IGF1|Insulin,670.3220758806519,0.013406441517613,0.000168117719468,0.0001501995206817,0.1065812624808296,0.0404292738221117,0.0389929048826814,0.0355279430877296,collapsed
blood_to_liver_glucose_threshold,65,7,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH,670.3100413136991,0.0134062008262739,0.000168117719468,0.0001502027977553,0.1065617697491266,0.0404292738221117,0.0389929065901787,0.0355279008535476,collapsed
blood_to_liver_glucose_threshold,65,8,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4,596.4766636226273,0.0119295332724525,0.000168117719468,0.0001500306761502,0.1075855857139683,0.0404292738221117,0.0389261904318927,0.0371780951800538,collapsed
blood_to_liver_glucose_threshold,65,9,Glucose|Glucagon|INH|E2|IGF1|Insulin|FSH|P4|PGF,596.4739280478511,0.011929478560957,0.000168117719468,0.0001500305765033,0.1075861784347568,0.0404292738221117,0.03892618665349,0.0371781886371556,collapsed
gnrh_clearance,62,1,Insulin,13306.651256766823,0.2661330251353365,0.0022248794451012,0.002232341898271,-0.0033540932684077,0.1467965234599322,0.1466580474713668,0.0009433192646637,informative
gnrh_clearance,62,2,Insulin|IGF1,9904.95948355522,0.1980991896711044,0.0022248794451012,0.0022268803101346,-0.0008993139101789,0.1467965234599322,0.1464331107289382,0.0024756221906926,informative
gnrh_clearance,62,3,Insulin|IGF1|INH,314.3868348302446,0.0062877366966048,0.0022248794451012,0.0020419275415583,0.0822300300116005,0.1467965234599322,0.1463348020464943,0.0031453157238015,collapsed
gnrh_clearance,62,4,Insulin|IGF1|INH|E2,125.39944018439282,0.0025079888036878,0.0022248794451012,0.0018784195429257,0.1557207528427104,0.1467965234599322,0.1409551365594896,0.039792406269328,collapsed
gnrh_clearance,62,5,Insulin|IGF1|INH|E2|Glucose,125.03289837094208,0.0025006579674188,0.0022248794451012,0.0018771053820307,0.1563114189562892,0.1467965234599322,0.1409551636975774,0.0397922214005916,collapsed
gnrh_clearance,62,6,Insulin|IGF1|INH|E2|Glucose|FSH,108.38183173123018,0.0021676366346246,0.0022248794451012,0.0018849560680727,0.1527828295492078,0.1467965234599322,0.1431272927094184,0.0249953518246311,collapsed
gnrh_clearance,62,7,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon,99.3478604873454,0.0019869572097469,0.0022248794451012,0.0019049600733753,0.1437917782153315,0.1467965234599322,0.1453371253578754,0.0099416394043901,collapsed
gnrh_clearance,62,8,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4,99.36951084851646,0.0019873902169703,0.0022248794451012,0.0019047657441881,0.1438791219083245,0.1467965234599322,0.1453372641995689,0.0099406935938887,collapsed
gnrh_clearance,62,9,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF,98.88714356378983,0.0019777428712757,0.0022248794451012,0.0019083625098475,0.142262510425248,0.1467965234599322,0.1456141169696321,0.0080547308780295,collapsed
hp_iof_threshold,69,1,P4,9566.109710734334,0.1913221942146866,0.0027649486829496,0.0027714752695141,-0.0023604729464847,0.1638213698077923,0.1639103047250341,-0.0005428773874009,informative
hp_iof_threshold,69,2,P4|IGF1,8601.242263863483,0.1720248452772696,0.0027649486829496,0.0027713815029828,-0.0023265603708473,0.1638213698077923,0.1638638863086343,-0.0002595296382386,informative
hp_iof_threshold,69,3,P4|IGF1|Glucagon,8369.632278158491,0.1673926455631698,0.0027649486829496,0.0027767395947931,-0.004264423392815,0.1638213698077923,0.1638842905165523,-0.0003840812027986,informative
hp_iof_threshold,69,4,P4|IGF1|Glucagon|E2,6066.962675591894,0.1213392535118378,0.0027649486829496,0.0027941816820374,-0.0105727094568166,0.1638213698077923,0.1645920243421863,-0.0047042369093734,informative
hp_iof_threshold,69,5,P4|IGF1|Glucagon|E2|Glucose,6054.079168932427,0.1210815833786485,0.0027649486829496,0.0027943256541649,-0.0106247799087415,0.1638213698077923,0.1645927525733939,-0.0047086821853983,informative
hp_iof_threshold,69,6,P4|IGF1|Glucagon|E2|Glucose|PGF,6028.318604139428,0.1205663720827885,0.0027649486829496,0.0027936038147449,-0.0103637119820707,0.1638213698077923,0.1645727162851813,-0.0045863764798845,informative
hp_iof_threshold,69,7,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin,3685.210106133731,0.0737042021226746,0.0027649486829496,0.002786592323957,-0.0078278635480246,0.1638213698077923,0.1644283449208985,-0.0037051033929107,informative
hp_iof_threshold,69,8,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH,2674.9871206504617,0.0534997424130092,0.0027649486829496,0.0027791865270598,-0.0051494062794046,0.1638213698077923,0.1641371094352586,-0.0019273409069688,informative
hp_iof_threshold,69,9,P4|IGF1|Glucagon|E2|Glucose|PGF|Insulin|INH|FSH,423.3565211605643,0.0084671304232112,0.0027649486829496,0.0027888138355929,-0.0086313184727291,0.1638213698077923,0.1672772919840739,-0.0210956737838066,collapsed
insulin_igf_threshold,65,1,IGF1,8178.312919916288,0.1635662583983257,0.187242177549249,0.1874674260967344,-0.0012029797475852,1.3491993865863687,1.353605171977902,-0.0032654813182806,informative
insulin_igf_threshold,65,2,IGF1|Insulin,2958.2865990957107,0.0591657319819142,0.187242177549249,0.1866300804097583,0.0032690131438449,1.3491993865863687,1.35344880004933,-0.003149581526058,informative
insulin_igf_threshold,65,3,IGF1|Insulin|E2,1209.0544544329678,0.0241810890886593,0.187242177549249,0.1936535297805548,-0.034240961706502,1.3491993865863687,1.3658278524014469,-0.0123246912060566,informative
insulin_igf_threshold,65,4,IGF1|Insulin|E2|INH,702.2713431066081,0.0140454268621321,0.187242177549249,0.1955824436893441,-0.0445426679461762,1.3491993865863687,1.366116709765345,-0.0125387865923798,collapsed
insulin_igf_threshold,65,5,IGF1|Insulin|E2|INH|PGF,702.2678803419523,0.014045357606839,0.187242177549249,0.1955826233473971,-0.0445436274418162,1.3491993865863687,1.3661167141798192,-0.012538789864301,collapsed
insulin_igf_threshold,65,6,IGF1|Insulin|E2|INH|PGF|FSH,702.247470745264,0.0140449494149052,0.187242177549249,0.1955856146956985,-0.0445596032670314,1.3491993865863687,1.3661167492754522,-0.0125388158764927,collapsed
insulin_igf_threshold,65,7,IGF1|Insulin|E2|INH|PGF|FSH|Glucose,700.3467995360857,0.0140069359907217,0.187242177549249,0.1955462365408606,-0.0443492972593071,1.3491993865863687,1.3661162995988558,-0.0125384825850602,collapsed
insulin_igf_threshold,65,8,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon,670.3071262029177,0.0134061425240583,0.187242177549249,0.1952630903857978,-0.0428371050878171,1.3491993865863687,1.3681922089264358,-0.0140771056738477,collapsed
insulin_igf_threshold,65,9,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4,596.4739280478511,0.011929478560957,0.187242177549249,0.1965109139250006,-0.0495013276232261,1.3491993865863687,1.3714214106483666,-0.0164705263602455,collapsed
feed_direct_blood_fraction,64,1,P4,7212.023085006868,0.1442404617001373,5.314937078860834e-06,5.269590137946311e-06,0.0085319807632121,0.0072026636017159,0.0071714647295439,0.0043315742476923,informative
feed_direct_blood_fraction,64,2,P4|PGF,6470.323467846615,0.1294064693569323,5.314937078860834e-06,5.274967434600882e-06,0.0075202478725333,0.0072026636017159,0.007173119739528,0.0041017967548604,informative
feed_direct_blood_fraction,64,3,P4|PGF|INH,1025.449381725135,0.0205089876345027,5.314937078860834e-06,5.1874907085745895e-06,0.0239789048102072,0.0072026636017159,0.0071050123881605,0.0135576529677349,informative
feed_direct_blood_fraction,64,4,P4|PGF|INH|E2,420.83965458032606,0.0084167930916065,5.314937078860834e-06,5.154790430200812e-06,0.0301314288925406,0.0072026636017159,0.0070363037340351,0.0230969925682897,collapsed
feed_direct_blood_fraction,64,5,P4|PGF|INH|E2|Insulin,314.54056416813984,0.0062908112833627,5.314937078860834e-06,4.99386177492503e-06,0.0604099915336385,0.0072026636017159,0.0070282102919959,0.0242206660433829,collapsed
feed_direct_blood_fraction,64,6,P4|PGF|INH|E2|Insulin|Glucagon,302.009079811155,0.0060401815962231,5.314937078860834e-06,5.0039697095452885e-06,0.0585081939262009,0.0072026636017159,0.0070281347679443,0.0242311516159078,collapsed
feed_direct_blood_fraction,64,7,P4|PGF|INH|E2|Insulin|Glucagon|FSH,301.9483386340614,0.0060389667726812,5.314937078860834e-06,4.99966908162942e-06,0.0593173526898999,0.0072026636017159,0.0070281664386658,0.0242267545312621,collapsed
feed_direct_blood_fraction,64,8,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose,300.88859312204517,0.0060177718624409,5.314937078860834e-06,4.9952847199347496e-06,0.060142265878827,0.0072026636017159,0.0070281751470516,0.0242255454805272,collapsed
feed_direct_blood_fraction,64,9,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1,231.88582206008533,0.0046377164412017,5.314937078860834e-06,5.301939923799207e-06,0.0024454014918297,0.0072026636017159,0.0070298443020917,0.0239938041231071,collapsed
lh_basal_release,62,1,IGF1,17918.15554702898,0.3583631109405796,1.648266031635099e-07,1.6545795070457958e-07,-0.0038303740352119,0.0012660112016096,0.0012691576559192,-0.0024853289652102,informative
lh_basal_release,62,2,IGF1|P4,17539.212120166892,0.3507842424033378,1.648266031635099e-07,1.653779583744196e-07,-0.0033450620247434,0.0012660112016096,0.0012689691750319,-0.0023364512245902,informative
lh_basal_release,62,3,IGF1|P4|Glucagon,17060.393335796332,0.3412078667159266,1.648266031635099e-07,1.653587642902565e-07,-0.0032286118656386,0.0012660112016096,0.0012686488788215,-0.0020834548767185,informative
lh_basal_release,62,4,IGF1|P4|Glucagon|Insulin,9437.90257723346,0.1887580515446691,1.648266031635099e-07,1.657017744848505e-07,-0.0053096484702317,0.0012660112016096,0.0012709586124426,-0.0039078728740415,informative
lh_basal_release,62,5,IGF1|P4|Glucagon|Insulin|E2,183.31950734653068,0.0036663901469306,1.648266031635099e-07,1.4935783686228793e-07,0.0938487234726105,0.0012660112016096,0.0012461041938555,0.0157241955906343,collapsed
lh_basal_release,62,6,IGF1|P4|Glucagon|Insulin|E2|INH,116.98875774644976,0.0023397751549289,1.648266031635099e-07,1.4329409534486453e-07,0.1306373328417431,0.0012660112016096,0.0012203336576063,0.036079889297337,collapsed
lh_basal_release,62,7,IGF1|P4|Glucagon|Insulin|E2|INH|PGF,116.60392405464344,0.0023320784810928,1.648266031635099e-07,1.4342499572689565e-07,0.1298431626075774,0.0012660112016096,0.0012203422649856,0.0360730904796777,collapsed
lh_basal_release,62,8,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose,116.20026153501884,0.0023240052307003,1.648266031635099e-07,1.4325150758567646e-07,0.1308957120012397,0.0012660112016096,0.0012203388964087,0.0360757512594078,collapsed
lh_basal_release,62,9,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH,98.8871435637898,0.0019777428712757,1.648266031635099e-07,1.3318250062656874e-07,0.1919841938716034,0.0012660112016096,0.0012020877733038,0.0504919926652368,collapsed
