parameter,day,n_biomarkers,biomarkers,ess,ess_fraction,prior_variance,posterior_variance,variance_reduction_fraction,prior_90_width,posterior_90_width,interval_reduction_fraction,weight_warning
gnrh_clearance,62,2,Insulin|IGF1,9904.959483555222,0.19809918967110443,0.0022248794451012266,0.002226880310134677,-0.0008993139101789449,0.14679652345993222,0.14643311072893828,0.002475622190692639,informative
gnrh_clearance,62,3,Insulin|IGF1|INH,314.3868348302441,0.006287736696604882,0.0022248794451012266,0.0020419275415583618,0.08223003001159956,0.14679652345993222,0.1463348020464943,0.0031453157238015006,collapsed
gnrh_clearance,62,4,Insulin|IGF1|INH|E2,125.39944018439279,0.002507988803687856,0.0022248794451012266,0.0018784195429257919,0.15572075284271036,0.14679652345993222,0.14095513655948966,0.03979240626932801,collapsed
gnrh_clearance,62,5,Insulin|IGF1|INH|E2|Glucose,125.03289837094208,0.0025006579674188415,0.0022248794451012266,0.001877105382030773,0.15631141895628908,0.14679652345993222,0.14095516369757743,0.03979222140059169,collapsed
gnrh_clearance,62,6,Insulin|IGF1|INH|E2|Glucose|FSH,108.3818317312302,0.0021676366346246043,0.0022248794451012266,0.0018849560680727895,0.15278282954920797,0.14679652345993222,0.14312729270941849,0.024995351824631196,collapsed
gnrh_clearance,62,7,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon,99.34786048734543,0.0019869572097469088,0.0022248794451012266,0.0019049600733753815,0.1437917782153314,0.14679652345993222,0.14533712535787546,0.00994163940439019,collapsed
gnrh_clearance,62,8,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4,99.36951084851637,0.0019873902169703275,0.0022248794451012266,0.001904765744188183,0.14387912190832397,0.14679652345993222,0.14533726419956894,0.009940693593888716,collapsed
gnrh_clearance,62,9,Insulin|IGF1|INH|E2|Glucose|FSH|Glucagon|P4|PGF,98.88714356378982,0.0019777428712757965,0.0022248794451012266,0.0019083625098475932,0.14226251042524807,0.14679652345993222,0.1456141169696321,0.008054730878029548,collapsed
hp_iof_threshold,69,1,P4,9566.1097107343,0.191322194214686,0.0027649486829496475,0.0027714752695141742,-0.00236047294648678,0.16382136980779238,0.16391030472503432,-0.0005428773874023296,informative
hp_iof_threshold,69,2,P4|IGF1,8601.242263863482,0.17202484527726963,0.0027649486829496475,0.0027713815029828245,-0.0023265603708473304,0.16382136980779238,0.16386388630863435,-0.0002595296382386092,informative
