param,parameter,sensitivity_raw,sensitivity_0to1,nullspace_raw,nullspace_0to1,identifiable_raw,identifiable_0to1,recommendation,recommendation_3class
insulin_igf_threshold,insulin_igf_threshold,7.745332608338787,0.020765324950835624,0.7534118579117923,0.7534114756722093,0.6575489125212676,0.6575489125220575,ESTIMATE_or_constrain,Estimate
cl_to_p4_scale,cl_to_p4_scale,5.466062068758774,0.014654574670816769,0.044332406080556275,0.04433092468741499,0.9990168355794155,0.9990168355806155,ESTIMATE_or_constrain,Estimate
hp_pg_iof_threshold,hp_pg_iof_threshold,4.978848977911666,0.013348350824361307,0.0033720578339868634,0.0033705129476609822,0.9999943145968204,0.9999943145980217,ESTIMATE_or_constrain,Estimate
hp_enz_pg_scale,hp_enz_pg_scale,4.112677845734164,0.011026136152349087,0.9970065372596403,0.9970065326194334,0.07731729859185014,0.07731729859194303,FIX_anchor_compensation,Fix (anchor)
feed_direct_blood_fraction,feed_direct_blood_fraction,3.4210321274031594,0.00917182610289624,0.009147031311852145,0.009145495377390022,0.999958165034008,0.9999581650352093,ESTIMATE_or_constrain,Estimate
hp_enz_pg_threshold,hp_enz_pg_threshold,2.8518648048107718,0.007645882027582612,0.20674487607018674,0.20674364643479112,0.9783948876699654,0.9783948876711407,ESTIMATE_or_constrain,Estimate
gnrh_clearance,gnrh_clearance,2.797668194624263,0.007500580298313429,0.010018824170057856,0.010017289586973522,0.9999498103216226,0.9999498103228237,ESTIMATE_or_constrain,Estimate
enz_clearance,enz_clearance,2.768528981288842,0.007422457735433393,0.30933430723428645,0.3093332366241425,0.9509533565679678,0.9509533565691101,ESTIMATE_or_constrain,Estimate
hp_p4_enz_scale,hp_p4_enz_scale,2.73495103474206,0.0073324348782516325,0.21404651153458937,0.2140452932175567,0.9768234696708878,0.9768234696720612,ESTIMATE_or_constrain,Estimate
hp_cl_self_threshold,hp_cl_self_threshold,2.1031251821260244,0.005638502570194852,0.009365930962001,0.009364395366858158,0.999956138706701,0.9999561387079022,ESTIMATE_or_constrain,Estimate
hp_iof_threshold,hp_iof_threshold,1.9883995074302863,0.005330921729483634,0.03907254236252674,0.039071052816000235,0.9992363766563592,0.9992363766575596,ESTIMATE_or_constrain,Estimate
hp_gnrh_fsh_scale,hp_gnrh_fsh_scale,1.8595446143662084,0.004985460293379518,0.009616633630408142,0.009615098423882865,0.9999537591096991,0.9999537591109002,ESTIMATE_or_constrain,Estimate
lh_basal_release,lh_basal_release,1.801679427441146,0.004830323068085138,0.0010827103541818806,0.0010811619191077994,0.9999994138689724,0.9999994138701737,ESTIMATE_candidate,Estimate
hp_pg_iof_scale,hp_pg_iof_scale,1.746798064355069,0.004683185508492121,0.991902632543668,0.9919026199918299,0.1270006596555367,0.12700065965568927,FIX_anchor_compensation,Fix (anchor)
hm_p4_igf_threshold,hm_p4_igf_threshold,1.7466956263679692,0.004682910871081825,1.2600621589677872e-05,1.1050527724163131e-05,0.9999999999206118,0.9999999999218131,FIX_low_sensitivity,Fix (irrelevant)
storage_to_liver_max,storage_to_liver_max,1.7356232488685583,0.004653225700879315,0.9999892749665561,0.9999892749499308,0.004631409273917256,0.004631409273922819,FIX_low_sensitivity,Fix (irrelevant)
liver_to_storage_max,liver_to_storage_max,1.7353456172042643,0.004652481367224811,0.999396651287715,0.999396650352456,0.03473231053214385,0.034732310532185576,FIX_low_sensitivity,Fix (irrelevant)
hp_p4_fsh_threshold,hp_p4_fsh_threshold,1.6602739608157395,0.004451213401298228,0.0006685306556520822,0.0006669815785525011,0.9999997765333564,0.9999997765345576,FIX_low_sensitivity,Fix (irrelevant)
hp_p4_enz_threshold,hp_p4_enz_threshold,1.2447062766638222,0.00333707170631276,0.03100904490704292,0.03100754286118097,0.9995191039364644,0.9995191039376651,FIX_low_sensitivity,Fix (irrelevant)
hp_cl_iof_threshold,hp_cl_iof_threshold,1.2387001644352722,0.0033209692510117765,0.027530515200967984,0.027529007762990533,0.999620963532063,0.9996209635332638,FIX_low_sensitivity,Fix (irrelevant)
hp_iof_scale,hp_iof_scale,1.1057384491204985,0.002964497377672311,0.9841869640222202,0.9841869395102211,0.1771327746317001,0.17713277463191288,FIX_low_sensitivity,Fix (irrelevant)
gnrh_hypo_max,gnrh_hypo_max,0.6829701094654426,0.0018310506432595228,0.9998114931844048,0.9998114928921976,0.01941592378364898,0.019415923783672306,FIX_low_sensitivity,Fix (irrelevant)
hm_e2_fsh_threshold,hm_e2_fsh_threshold,0.41686027352832067,0.001117607141827623,0.003835683904127634,0.0038341397364747357,0.9999926437374365,0.9999926437386377,FIX_low_sensitivity,Fix (irrelevant)
hm_p4_2_scale,hm_p4_2_scale,0.34674655092197837,0.0009296314528474031,0.7592677680675349,0.7592673949052767,0.6507783465771916,0.6507783465779733,FIX_low_sensitivity,Fix (irrelevant)
gnrh_release_scale,gnrh_release_scale,0.338226396688064,0.0009067888222923266,0.6776091862683391,0.6776086865260192,0.7354221853362587,0.7354221853371421,FIX_low_sensitivity,Fix (irrelevant)
hp_gnrh_fsh_threshold,hp_gnrh_fsh_threshold,0.29473996310410516,0.0007902011984953012,0.005423675634223884,0.005422133928138242,0.9999852917631419,0.9999852917643431,FIX_low_sensitivity,Fix (irrelevant)
hm_p4_2_threshold,hm_p4_2_threshold,0.24964288964933515,0.0006692954308576667,0.14507324600784516,0.1450719207744295,0.9894209181600859,0.9894209181612745,FIX_low_sensitivity,Fix (irrelevant)
storage_fat_threshold,storage_fat_threshold,0.20151610423831348,0.0005402669709535614,0.9999995084877225,0.9999995084869603,0.0009914758263114328,0.000991475826312624,FIX_low_sensitivity,Fix (irrelevant)
hm_p4_1_threshold,hm_p4_1_threshold,0.18899599421466082,0.0005067004133622893,0.10923063118836197,0.1092292503948289,0.9940164330684845,0.9940164330696786,FIX_low_sensitivity,Fix (irrelevant)
hm_e2_1_threshold,hm_e2_1_threshold,0.08866253501354447,0.00023770526633535644,0.014413324478948003,0.014411796707837474,0.9998961226434797,0.9998961226446809,FIX_low_sensitivity,Fix (irrelevant)
hp_lh_follicle_threshold,hp_lh_follicle_threshold,0.020190048772882874,5.412975074701847e-05,0.09844828844786653,0.09844689094047952,0.9951421679848989,0.9951421679860942,FIX_low_sensitivity,Fix (irrelevant)
milk_storage_threshold,milk_storage_threshold,6.910574842345822e-08,1.852732987139703e-10,0.9999999999998401,0.9999999999998399,5.647265753571956e-07,5.64726575357874e-07,FIX_low_sensitivity,Fix (irrelevant)
milk_fat_threshold,milk_fat_threshold,1.160495271746954e-09,3.1113010428744296e-12,0.9999999999997666,0.9999999999997664,6.833314142475776e-07,6.833314142483985e-07,FIX_low_sensitivity,Fix (irrelevant)
fat_mobilization_storage_threshold,fat_mobilization_storage_threshold,0.0,0.0,1.0000000000000002,1.0,7.245911717030584e-16,7.245911717039288e-16,FIX_low_sensitivity,Fix (irrelevant)
storage_to_liver_threshold,storage_to_liver_threshold,0.0,0.0,1.0000000000000002,1.0,4.038968316395905e-28,4.038968316400757e-28,FIX_low_sensitivity,Fix (irrelevant)
lactation_oxt_scale,lactation_oxt_scale,0.0,0.0,1.0,0.9999999999999998,1.6149550172018378e-15,1.6149550172037778e-15,FIX_low_sensitivity,Fix (irrelevant)
fat_to_liver_max,fat_to_liver_max,0.0,0.0,1.0,0.9999999999999998,1.0587916889387344e-22,1.0587916889400063e-22,FIX_low_sensitivity,Fix (irrelevant)
fat_glucose_transfer_threshold,fat_glucose_transfer_threshold,0.0,0.0,1.0,0.9999999999999998,0.0,0.0,FIX_low_sensitivity,Fix (irrelevant)
lactation_oxt_decay,lactation_oxt_decay,0.0,0.0,0.9999999999999996,0.9999999999999993,5.248553624572329e-16,5.2485536245786335e-16,FIX_low_sensitivity,Fix (irrelevant)
