parameter,day,biomarker,single_biomarker_mi_proxy,rank_within_parameter
blood_to_liver_glucose_threshold,70,PGF,0.00017060366462813475,296
blood_to_liver_glucose_threshold,69,PGF,0.00016883997107563776,297
blood_to_liver_glucose_threshold,77,FSH,0.00016810639046419224,298
blood_to_liver_glucose_threshold,80,PGF,0.00016130212185311809,299
blood_to_liver_glucose_threshold,61,PGF,0.0001584160400517651,300
blood_to_liver_glucose_threshold,68,PGF,0.00014981988458064317,301
blood_to_liver_glucose_threshold,81,E2,0.00014051352200475302,302
blood_to_liver_glucose_threshold,56,FSH,0.0001364689883007459,303
blood_to_liver_glucose_threshold,54,P4,0.00013165854907165565,304
blood_to_liver_glucose_threshold,71,P4,0.00012847817988901328,305
blood_to_liver_glucose_threshold,57,INH,0.00012365642837450623,306
blood_to_liver_glucose_threshold,60,IGF1,0.000123609268390643,307
blood_to_liver_glucose_threshold,89,FSH,0.00011258159592624097,308
blood_to_liver_glucose_threshold,55,P4,9.802120095251978e-05,309
blood_to_liver_glucose_threshold,76,INH,9.088232237351932e-05,310
blood_to_liver_glucose_threshold,72,P4,8.90404471812225e-05,311
blood_to_liver_glucose_threshold,62,PGF,8.307942961519115e-05,312
blood_to_liver_glucose_threshold,75,PGF,8.268993839076527e-05,313
blood_to_liver_glucose_threshold,87,P4,8.177269592671243e-05,314
blood_to_liver_glucose_threshold,85,E2,8.15489001111914e-05,315
blood_to_liver_glucose_threshold,83,FSH,7.816782176691927e-05,316
blood_to_liver_glucose_threshold,58,E2,7.318209191910844e-05,317
blood_to_liver_glucose_threshold,82,P4,7.152827667008942e-05,318
blood_to_liver_glucose_threshold,56,P4,7.076850897094312e-05,319
blood_to_liver_glucose_threshold,82,INH,6.663334277686661e-05,320
blood_to_liver_glucose_threshold,58,FSH,6.6595013014509e-05,321
blood_to_liver_glucose_threshold,87,FSH,6.605156814586057e-05,322
blood_to_liver_glucose_threshold,84,P4,6.0007720953247416e-05,323
blood_to_liver_glucose_threshold,73,P4,5.8460113012257185e-05,324
blood_to_liver_glucose_threshold,57,P4,4.950572456689464e-05,325
blood_to_liver_glucose_threshold,89,P4,4.3874669591934735e-05,326
blood_to_liver_glucose_threshold,56,E2,3.856958827846807e-05,327
blood_to_liver_glucose_threshold,74,P4,3.5062509905206604e-05,328
blood_to_liver_glucose_threshold,62,E2,3.4738612865025e-05,329
blood_to_liver_glucose_threshold,63,PGF,3.448008470898589e-05,330
blood_to_liver_glucose_threshold,58,P4,3.3749994186578614e-05,331
blood_to_liver_glucose_threshold,85,INH,3.340916376758272e-05,332
blood_to_liver_glucose_threshold,84,FSH,2.8205333765507262e-05,333
blood_to_liver_glucose_threshold,88,P4,2.6375577857741015e-05,334
blood_to_liver_glucose_threshold,67,PGF,2.5631040991385544e-05,335
blood_to_liver_glucose_threshold,57,E2,2.434512908280788e-05,336
blood_to_liver_glucose_threshold,88,FSH,2.394661118837036e-05,337
blood_to_liver_glucose_threshold,55,E2,2.356137684046449e-05,338
blood_to_liver_glucose_threshold,73,PGF,2.3350599182955935e-05,339
blood_to_liver_glucose_threshold,59,P4,2.2054660169114517e-05,340
blood_to_liver_glucose_threshold,58,INH,2.0759362139478526e-05,341
blood_to_liver_glucose_threshold,75,P4,1.837148760942618e-05,342
blood_to_liver_glucose_threshold,75,INH,1.6453670141895392e-05,343
blood_to_liver_glucose_threshold,61,IGF1,1.5268497014697292e-05,344
blood_to_liver_glucose_threshold,63,FSH,1.3652920092946978e-05,345
blood_to_liver_glucose_threshold,64,PGF,9.212573576760976e-06,346
blood_to_liver_glucose_threshold,76,P4,7.786316391723408e-06,347
blood_to_liver_glucose_threshold,54,E2,4.320050658860906e-06,348
blood_to_liver_glucose_threshold,80,P4,4.000280143548829e-06,349
