scenario,description,parameter,prior_median,posterior_median,prior_90_width,posterior_90_width,interval_reduction_fraction,final_epsilon,final_particles
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,hp_iof_threshold,1.8198467438656287,1.8169749662829426,0.16381622142398866,0.16438477254941053,-0.003470664385246458,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,insulin_igf_threshold,15.007110527186743,15.004780963233607,1.3490788348546818,1.339108859326224,0.007390209727463293,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,feed_direct_blood_fraction,0.07999997626633726,0.07997773407215829,0.007202420746582061,0.007221114651304789,-0.0025955030094011455,0.07451258463131057,2500
independent_2_Glucose_day_65,Independent observation scenario 2: Glucose,lh_basal_release,0.01409954623203555,0.014092671452016637,0.0012659147656591558,0.0012768451413754777,-0.00863436940055795,0.07451258463131057,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,insulin_glucose_threshold,0.49992503297664365,0.48847681861705194,0.04499020415972066,0.046113505251823506,-0.024967681589418644,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,inhibin_clearance,0.47501419837676173,0.48700338405777616,0.042709557745251925,0.040618121295872445,0.04896881540788112,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,hp_p4_follicle_scale,1.1000615121832023,1.1137007763399136,0.09892970060211281,0.09339612330928437,0.05593443889094574,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,blood_to_liver_glucose_threshold,0.4499489017871994,0.4536954895695177,0.04042927251442624,0.04000371828353316,0.010525893849344659,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,gnrh_clearance,1.6301310730628726,1.6309221591763006,0.14679630219367357,0.14594291385348535,0.005813418508746282,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,hp_iof_threshold,1.8198467438656287,1.8149549214736096,0.16381622142398866,0.16302167140955293,0.004850252359192675,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,insulin_igf_threshold,15.007110527186743,14.98285307363408,1.3490788348546818,1.3476583358570267,0.0010529399475814882,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,feed_direct_blood_fraction,0.07999997626633726,0.08005619645445335,0.007202420746582061,0.007142192606769571,0.008362207920312392,0.19013015525588184,2500
independent_3_IGF1_day_65,Independent observation scenario 3: IGF1,lh_basal_release,0.01409954623203555,0.014091603538321005,0.0012659147656591558,0.0012844459737042686,-0.014638590644342253,0.19013015525588184,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,insulin_glucose_threshold,0.49992503297664365,0.5076923660583522,0.04499020415972066,0.0460598926645705,-0.02377603135678874,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,inhibin_clearance,0.47501419837676173,0.478357430817867,0.042709557745251925,0.04356778419106505,-0.020094482151563176,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,hp_p4_follicle_scale,1.1000615121832023,1.1023673997775498,0.09892970060211281,0.09994519634520094,-0.010264821756333475,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,blood_to_liver_glucose_threshold,0.4499489017871994,0.44973797309077684,0.04042927251442624,0.040833630393614706,-0.010001611556185619,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,gnrh_clearance,1.6301310730628726,1.6287126792124067,0.14679630219367357,0.1455857578802946,0.008246422391361419,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,hp_iof_threshold,1.8198467438656287,1.8219390921877494,0.16381622142398866,0.16317209628324592,0.003931998523367342,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,insulin_igf_threshold,15.007110527186743,15.01181843936383,1.3490788348546818,1.3317687523987694,0.012831038489887092,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,feed_direct_blood_fraction,0.07999997626633726,0.07989480485349645,0.007202420746582061,0.007162984922021817,0.005475356959527611,0.02040496336458963,2500
independent_4_E2_day_65,Independent observation scenario 4: E2,lh_basal_release,0.01409954623203555,0.014076725893165743,0.0012659147656591558,0.0012412696550760556,0.019468222704762894,0.02040496336458963,2500
cumulative_best_01,Cumulative biomarkers: Insulin,insulin_glucose_threshold,0.49992503297664365,0.48078231814046724,0.04499020415972066,0.01565922027026151,0.651941560107854,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,inhibin_clearance,0.47501419837676173,0.47545567035599384,0.042709557745251925,0.04350773813642611,-0.01868856605669067,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,hp_p4_follicle_scale,1.1000615121832023,1.0997457856728865,0.09892970060211281,0.09873261526243082,0.0019921756407071944,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,blood_to_liver_glucose_threshold,0.4499489017871994,0.4563130296552814,0.04042927251442624,0.03893887627971071,0.03686428525726548,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,gnrh_clearance,1.6301310730628726,1.6333822855163147,0.14679630219367357,0.1467251445128701,0.0004847375563287182,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,hp_iof_threshold,1.8198467438656287,1.8208428459101955,0.16381622142398866,0.16067501185802158,0.01917520462053035,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,insulin_igf_threshold,15.007110527186743,15.008289785766799,1.3490788348546818,1.3633977237365205,-0.010613826643704583,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,feed_direct_blood_fraction,0.07999997626633726,0.08003384676682339,0.007202420746582061,0.007241698257333104,-0.005453376320688097,0.23055700578577226,2500
cumulative_best_01,Cumulative biomarkers: Insulin,lh_basal_release,0.01409954623203555,0.014083765585542956,0.0012659147656591558,0.0012689147875657152,-0.0023698451016940236,0.23055700578577226,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,insulin_glucose_threshold,0.49992503297664365,0.48122711891056363,0.04499020415972066,0.012766067935350955,0.7162478327497721,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,inhibin_clearance,0.47501419837676173,0.4754951427787346,0.042709557745251925,0.04337428845264091,-0.015563980113160625,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,hp_p4_follicle_scale,1.1000615121832023,1.0998680869279875,0.09892970060211281,0.09809472037338973,0.00844013702296853,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,blood_to_liver_glucose_threshold,0.4499489017871994,0.45481786416929104,0.04042927251442624,0.038164273618609024,0.05602373614338485,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,gnrh_clearance,1.6301310730628726,1.6329640826789569,0.14679630219367357,0.14776759111712034,-0.006616576227957749,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,hp_iof_threshold,1.8198467438656287,1.8191801353295205,0.16381622142398866,0.16256286691471256,0.007650979239914091,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,insulin_igf_threshold,15.007110527186743,15.037216998170484,1.3490788348546818,1.3602390889536569,-0.00827249958315246,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,feed_direct_blood_fraction,0.07999997626633726,0.0800099376762348,0.007202420746582061,0.007234834112003985,-0.0045003432265888765,0.3648293936750165,2500
cumulative_best_02,Cumulative biomarkers: Insulin + Glucose,lh_basal_release,0.01409954623203555,0.014098861700278645,0.0012659147656591558,0.0012720773707198263,-0.004868104257763184,0.3648293936750165,2500
cumulative_best_03,Cumulative biomarkers: Insulin + Glucose + IGF1,insulin_glucose_threshold,0.49992503297664365,0.48170078826866,0.04499020415972066,0.015664660923978224,0.6518206303672953,0.5281813008121368,2500
