biomarker,parameter,spearman_rho,abs_spearman_rho,p_value,samples
INH,lactation_oxt_decay,-0.02195775451653847,0.02195775451653847,0.05137199369108723,7874
INH,hp_pg_iof_scale,-0.00486729888616461,0.00486729888616461,0.6658602557152361,7874
INH,hp_pg_iof_threshold,-0.02138512546459507,0.02138512546459507,0.05775712146861397,7874
INH,hp_cl_iof_threshold,-0.01356649206211503,0.01356649206211503,0.22870765319395034,7874
INH,iof_clearance,0.007630331421816393,0.007630331421816393,0.4984160376105894,7874
INH,hm_p4_igf_scale,-0.05647507616654591,0.05647507616654591,5.315657036129895e-07,7874
INH,hm_p4_igf_threshold,-0.006241515803772173,0.006241515803772173,0.579741821387449,7874
INH,igf_clearance,0.08470059766434909,0.08470059766434909,5.1408026750597485e-14,7874
INH,igf_basal_release,-0.0334737353407376,0.0334737353407376,0.0029714935808434957,7874
INH,igf_lh_sensitivity_scale,0.06684887917361618,0.06684887917361618,2.8927177261162157e-09,7874
INH,igf_lh_sensitivity_threshold,0.074900748267187,0.074900748267187,2.8396807605531398e-11,7874
INH,insulin_fsh_scale,0.10027709062026606,0.10027709062026606,4.695859549471279e-19,7874
INH,insulin_fsh_threshold,-0.09412014436190994,0.09412014436190994,5.807926223215219e-17,7874
INH,insulin_lh_scale,-0.08757179528079245,0.08757179528079245,7.001332373632417e-15,7874
INH,insulin_lh_threshold,0.1536679409524013,0.1536679409524013,8.236291943722058e-43,7874
INH,insulin_igf_scale,-0.04803612141542296,0.04803612141542296,2.00532444032899e-05,7874
INH,insulin_igf_threshold,0.012655332605494434,0.012655332605494434,0.2615034452700039,7874
INH,feed_direct_blood_fraction,-0.0017354358036303426,0.0017354358036303426,0.8776329649279357,7874
INH,fat_to_liver_max,0.012422552444749243,0.012422552444749243,0.2703792118597745,7874
INH,storage_to_liver_threshold,0.009441546180655461,0.009441546180655461,0.40220675993888055,7874
INH,storage_to_liver_max,0.013977384882957121,0.013977384882957121,0.21491815405184195,7874
INH,milk_storage_threshold,-0.002059190747741635,0.002059190747741635,0.855037627260663,7874
INH,liver_to_storage_max,-0.017245485116120684,0.017245485116120684,0.12597746454557468,7874
INH,blood_to_liver_glucose_threshold,-0.060546185130692924,0.060546185130692924,7.587198943816317e-08,7874
INH,glucagon_secretion_max,-0.03349248786734042,0.03349248786734042,0.00295542344131961,7874
INH,glucagon_clearance,0.04243225268532759,0.04243225268532759,0.00016565268953342818,7874
INH,glucagon_glucose_threshold,-0.04463923467632701,0.04463923467632701,7.418957208144633e-05,7874
INH,hepatic_glucose_release,-0.03189191961216146,0.03189191961216146,0.004651629739168129,7874
INH,blood_to_liver_max,0.0018150056871929414,0.0018150056871929414,0.872069683237572,7874
INH,milk_fat_threshold,-0.01373622576114162,0.01373622576114162,0.22293693176154478,7874
INH,storage_fat_threshold,0.024420396916302052,0.024420396916302052,0.030239677634828602,7874
INH,insulin_glucose_threshold,0.5108841256804769,0.5108841256804769,0.0,7874
INH,blood_usage_glucose_threshold,-0.28550366235339597,0.28550366235339597,1.4264650869384558e-147,7874
INH,blood_usage_max,0.0495258191593966,0.0495258191593966,1.0990821695466089e-05,7874
INH,liver_usage_rate,0.016350155535655494,0.016350155535655494,0.1468615023430531,7874
INH,milk_glucose_requirement,-0.005803745512664222,0.005803745512664222,0.606608089351483,7874
INH,insulin_secretion_max,-0.04924049977255054,0.04924049977255054,1.2348555473147926e-05,7874
INH,insulin_clearance,0.05856664092156368,0.05856664092156368,1.9866457339539516e-07,7874
INH,fat_glucose_transfer_threshold,-0.0171940857236943,0.0171940857236943,0.12711015941897708,7874
IGF1,gnrh_hypo_max,0.009549903654929397,0.009549903654929397,0.3968274520192784,7874
IGF1,gnrh_syn,0.00620673353498546,0.00620673353498546,0.5818558998680871,7874
IGF1,gnrh_release_scale,-0.024864976073464936,0.024864976073464936,0.027356114270553768,7874
IGF1,hm_e2_1_threshold,0.008393675386275366,0.008393675386275366,0.45644561763444713,7874
IGF1,hm_p4_1_threshold,-0.005243677466651263,0.005243677466651263,0.6417667614406726,7874
IGF1,hm_p4_2_scale,0.006527537265824957,0.006527537265824957,0.5624954543814786,7874
IGF1,hm_p4_2_threshold,0.011452604820737696,0.011452604820737696,0.3095697197057812,7874
IGF1,hp_e2_1_scale,0.01118025661869521,0.01118025661869521,0.32121711106391815,7874
IGF1,hp_e2_1_threshold,0.003486449420177968,0.003486449420177968,0.757075172889307,7874
IGF1,gnrh_clearance,0.0073499194821631236,0.0073499194821631236,0.5143337612116755,7874
IGF1,fsh_syn_scale,-0.004796594785304878,0.004796594785304878,0.6704260078154173,7874
IGF1,hm_ih_2_threshold,0.007062375562576605,0.007062375562576605,0.5309265917865622,7874
IGF1,hp_p4_fsh_scale,0.01771098509188484,0.01771098509188484,0.11607399175864748,7874
IGF1,hp_p4_fsh_threshold,0.000717891551174464,0.000717891551174464,0.9492151523451156,7874
IGF1,hm_e2_fsh_scale,-0.0036302542690065387,0.0036302542690065387,0.7473901406812888,7874
IGF1,hm_e2_fsh_threshold,0.009679138316984212,0.009679138316984212,0.39046878134912755,7874
IGF1,hp_gnrh_fsh_scale,0.018421257976687592,0.018421257976687592,0.10215393840517424,7874
IGF1,hp_gnrh_fsh_threshold,0.011117411276623041,0.011117411276623041,0.3239449099110534,7874
IGF1,fsh_clearance,-0.023609369405888384,0.023609369405888384,0.03617543336191493,7874
IGF1,fsh_basal_release,0.002095654462313503,0.002095654462313503,0.8524998457018349,7874
IGF1,hp_e2_lh_scale,-0.0274257068255507,0.0274257068255507,0.014945091792487708,7874
IGF1,hp_e2_lh_threshold,0.035842663531552556,0.035842663531552556,0.001467493851091096,7874
IGF1,hm_p4_lh_scale,-0.010030192143634455,0.010030192143634455,0.3735110893659003,7874
IGF1,hm_p4_lh_threshold,-0.016740826491348566,0.016740826491348566,0.13744454367515105,7874
IGF1,hp_gnrh_lh_scale,-0.011532076504228493,0.011532076504228493,0.30622423666132675,7874
IGF1,hp_gnrh_lh_threshold,0.006277364926004793,0.006277364926004793,0.5775666760941437,7874
IGF1,lh_basal_release,-0.015335706711695764,0.015335706711695764,0.1736127765466961,7874
IGF1,lh_clearance,0.036858493424607223,0.036858493424607223,0.001070726917440767,7874
IGF1,hp_fsh_follicle_scale,0.025582219762263308,0.025582219762263308,0.023203715918321932,7874
IGF1,hp_fsh_follicle_threshold,-0.016075294100035678,0.016075294100035678,0.15377716351057052,7874
IGF1,hm_follicle_threshold,-0.018206825571435735,0.018206825571435735,0.10620888696972895,7874
IGF1,hp_p4_follicle_scale,-0.09540366339823121,0.09540366339823121,2.181254433137546e-17,7874
IGF1,hp_p4_follicle_threshold,-0.04054388845961436,0.04054388845961436,0.0003199432745360335,7874
IGF1,hp_lh_follicle_scale,-0.03180525835605451,0.03180525835605451,0.004764734017993828,7874
IGF1,hp_lh_follicle_threshold,0.0027969245021855133,0.0027969245021855133,0.8040200908820652,7874
