parameter,prior_90_width,posterior_90_width,interval_reduction_fraction,biomarkers,method,source_file,computational_cost,interpretation,posterior_median,scenario
insulin_igf_threshold,1.3491993865863687,1.3658278524014469,-0.0123246912060566,IGF1|Insulin|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.366116709765345,-0.0125387865923798,IGF1|Insulin|E2|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.3661167141798192,-0.012538789864301,IGF1|Insulin|E2|INH|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.3661167492754522,-0.0125388158764927,IGF1|Insulin|E2|INH|PGF|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.3661162995988558,-0.0125384825850602,IGF1|Insulin|E2|INH|PGF|FSH|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.3681922089264358,-0.0140771056738477,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_igf_threshold,1.3491993865863687,1.3714214106483666,-0.0164705263602455,IGF1|Insulin|E2|INH|PGF|FSH|Glucose|Glucagon|P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0071714647295439,0.0043315742476923,P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.007173119739528,0.0041017967548604,P4|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0071050123881605,0.0135576529677349,P4|PGF|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0070363037340351,0.0230969925682897,P4|PGF|INH|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0070282102919959,0.0242206660433829,P4|PGF|INH|E2|Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0070281347679443,0.0242311516159078,P4|PGF|INH|E2|Insulin|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0070281664386658,0.0242267545312621,P4|PGF|INH|E2|Insulin|Glucagon|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0070281751470516,0.0242255454805272,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
feed_direct_blood_fraction,0.0072026636017159,0.0070298443020917,0.0239938041231071,P4|PGF|INH|E2|Insulin|Glucagon|FSH|Glucose|IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012691576559192,-0.0024853289652102,IGF1,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012689691750319,-0.0023364512245902,IGF1|P4,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012686488788215,-0.0020834548767185,IGF1|P4|Glucagon,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012709586124426,-0.0039078728740415,IGF1|P4|Glucagon|Insulin,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012461041938555,0.0157241955906343,IGF1|P4|Glucagon|Insulin|E2,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012203336576063,0.036079889297337,IGF1|P4|Glucagon|Insulin|E2|INH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012203422649856,0.0360730904796777,IGF1|P4|Glucagon|Insulin|E2|INH|PGF,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012203388964087,0.0360757512594078,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
lh_basal_release,0.0012660112016096,0.0012020877733038,0.0504919926652368,IGF1|P4|Glucagon|Insulin|E2|INH|PGF|Glucose|FSH,posterior reweighting,posterior_narrowing_cumulative_biomarkers.csv,low; saved ODE bank weights,fast BED design comparison,,
insulin_glucose_threshold,0.045,0.0241351135209704,0.4636641439784356,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,0.4826156051356584,all_observables_day_81
inhibin_clearance,0.0427499999999999,0.037487842189908,0.1230914107623838,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,0.4891889258710868,all_observables_day_81
hp_p4_follicle_scale,0.0990000000000003,0.0552744127974642,0.4416725980054132,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,1.134111143715782,all_observables_day_81
blood_to_liver_glucose_threshold,0.0405,0.0412910273597267,-0.0195315397463393,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,0.4584678828269149,all_observables_day_81
gnrh_clearance,0.1467000000000002,0.1378802583941096,0.0601209380087972,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,1.628054356803278,all_observables_day_81
hp_iof_threshold,0.1638000000000003,0.1652378560516452,-0.0087781199734118,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,1.7987618826008331,all_observables_day_81
insulin_igf_threshold,1.35,1.3677274111364603,-0.0131314156566373,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,15.035894231382052,all_observables_day_81
feed_direct_blood_fraction,0.0072,0.0070386959690245,0.0224033376354739,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,0.0794706378018936,all_observables_day_81
lh_basal_release,0.001269,0.0011526277053652,0.091703935882428,,reduced ODE-archive posterior,reduced_posterior_narrowing_summary.csv,low/moderate; saved ODE bank likelihood weights,likelihood-based selected-parameter inference on precomputed ODE rows,0.0140567546343817,all_observables_day_81
insulin_glucose_threshold,0.0449902041597206,0.0465331094852831,-0.0342942503680356,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4884098877801263,gsa_uncertainty_guided
inhibin_clearance,0.0427095577452519,0.0386231368698262,0.0956793067209881,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4885022623494001,gsa_uncertainty_guided
hp_p4_follicle_scale,0.0989297006021128,0.0946992687384311,0.042762000066048,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.1210776551785544,gsa_uncertainty_guided
blood_to_liver_glucose_threshold,0.0404292725144262,0.0398590026178998,0.0141053712090153,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,0.4524489097731597,gsa_uncertainty_guided
gnrh_clearance,0.1467963021936735,0.1464073191716659,0.0026498148536087,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.631863274004175,gsa_uncertainty_guided
hp_iof_threshold,0.1638162214239886,0.1629238398128016,0.0054474557124433,,archive-based sequential ABC filtering,abc_smc_posterior_narrowing_summary.csv,moderate/high; ODE archive likelihood-free filtering,likelihood-free selected-parameter inference over precomputed ODE rows,1.8192067046998188,gsa_uncertainty_guided
