parameter,ranking_score,nullspace_score,identifiable_score
liver_to_storage_max,1.7353456172042643,0.999396651287715,0.03473231053214385
hp_p4_fsh_threshold,1.6602739608157395,0.0006685306556520822,0.9999997765333564
hp_p4_enz_threshold,1.2447062766638222,0.03100904490704292,0.9995191039364644
hp_cl_iof_threshold,1.2387001644352722,0.027530515200967984,0.999620963532063
hp_iof_scale,1.1057384491204985,0.9841869640222202,0.1771327746317001
gnrh_hypo_max,0.6829701094654426,0.9998114931844048,0.01941592378364898
hm_e2_fsh_threshold,0.41686027352832067,0.003835683904127634,0.9999926437374365
hm_p4_2_scale,0.34674655092197837,0.7592677680675349,0.6507783465771916
gnrh_release_scale,0.338226396688064,0.6776091862683391,0.7354221853362587
hp_gnrh_fsh_threshold,0.29473996310410516,0.005423675634223884,0.9999852917631419
hm_p4_2_threshold,0.24964288964933515,0.14507324600784516,0.9894209181600859
storage_fat_threshold,0.20151610423831348,0.9999995084877225,0.0009914758263114328
hm_p4_1_threshold,0.18899599421466082,0.10923063118836197,0.9940164330684845
hm_e2_1_threshold,0.08866253501354447,0.014413324478948003,0.9998961226434797
hp_lh_follicle_threshold,0.020190048772882874,0.09844828844786653,0.9951421679848989
milk_storage_threshold,6.910574842345822e-08,0.9999999999998401,5.647265753571956e-07
milk_fat_threshold,1.160495271746954e-09,0.9999999999997666,6.833314142475776e-07
storage_to_liver_threshold,0.0,1.0000000000000002,4.038968316395905e-28
lactation_oxt_scale,0.0,1.0,1.6149550172018378e-15
fat_mobilization_storage_threshold,0.0,1.0000000000000002,7.245911717030584e-16
lactation_oxt_decay,0.0,0.9999999999999996,5.248553624572329e-16
fat_to_liver_max,0.0,1.0,1.0587916889387344e-22
fat_glucose_transfer_threshold,0.0,1.0,0.0
