biomarker,day,q05,median,q95,interval_width,samples
PGF,63,0.02753088150824102,0.03513172853451535,0.04673526911289329,0.01920438760465227,7874
PGF,64,0.008050190337635375,0.01026575100194785,0.013652059924967874,0.005601869587332499,7874
PGF,65,0.00235263625190581,0.0029994903377678498,0.003996085295025259,0.0016434490431194494,7874
PGF,66,0.00068747605740892,0.0008766936204361499,0.001168038127313665,0.000480562069904745,7874
PGF,67,0.000204638773830065,0.00025848316132925,0.00034235875414873995,0.00013771998031867494,7874
PGF,68,6.173443453035994e-05,7.843517768443999e-05,0.00010354957558,4.181514104964006e-05,7874
PGF,69,1.8058920268915633e-05,2.3001182466174032e-05,3.055332159438954e-05,1.249440132547391e-05,7874
PGF,70,5.27093816394502e-06,6.7269477514137985e-06,8.945158957694929e-06,3.6742207937499094e-06,7874
PGF,71,1.5377123578707538e-06,1.9663897552119307e-06,2.617094423137096e-06,1.0793820652663424e-06,7874
PGF,72,4.4827529604266206e-07,5.753035137044661e-07,7.651665825385355e-07,3.1689128649587345e-07,7874
PGF,73,1.3138097993362847e-07,1.6811245693851142e-07,2.2374035885724842e-07,9.235937892361995e-08,7874
PGF,74,3.9791277290361093e-07,1.3617109736622824e-05,0.00015731248682259496,0.00015691457404969135,7874
PGF,75,0.0014963907149105951,0.0068330312382576,0.0172788136092394,0.015782422894328803,7874
PGF,76,0.019481877028413946,0.0262547022092612,0.034848395436984834,0.015366518408570888,7874
PGF,77,0.0076419395726743805,0.010675598187996401,0.01499718366793731,0.00735524409526293,7874
PGF,78,0.002240645128325055,0.0031419444831924503,0.004445141508148629,0.002204496379823574,7874
PGF,79,0.000654350631992735,0.0009181520105839001,0.0012988356704328149,0.0006444850384400799,7874
PGF,80,0.000290010320321655,0.0005490147747176999,0.00470597776010612,0.004415967439784465,7874
PGF,81,0.0699160547662239,0.43641547639533684,1.3048044951808875,1.2348884404146636,7874
PGF,82,0.8756850902565538,1.2286734049032804,1.6627274541870243,0.7870423639304704,7874
PGF,83,0.2566764568133782,0.3649283549421682,0.5512212832013207,0.2945448263879425,7874
PGF,84,0.075048855057212,0.10664604697702915,0.16136488792722667,0.08631603287001467,7874
PGF,85,0.02192850282876371,0.03119130669922795,0.047143284205487156,0.025214781376723446,7874
PGF,86,0.00641009838272269,0.009113783661591799,0.013774854940700824,0.007364756557978134,7874
PGF,87,0.001874994054382285,0.0026641561265559497,0.004022964991541765,0.00214797093715948,7874
PGF,88,0.000548640579784525,0.0007784393226562001,0.0011766352103341098,0.0006279946305495849,7874
PGF,89,0.000165013925203685,0.0002302508009594,0.0003447050140788849,0.00017969108887519992,7874
PGF,90,4.9334762288688774e-05,6.971771318867576e-05,0.00010415361788549996,5.481885559681118e-05,7874
P4,55,0.9842141697369962,1.012421154991085,1.037184281857613,0.05297011212061675,7874
P4,56,1.066743599560498,1.096261384945521,1.1222665748032707,0.05552297524277283,7874
P4,57,1.1528187236090583,1.183776394810831,1.210950184613295,0.05813146100423672,7874
P4,58,1.2424911410282713,1.274904139951695,1.3031817787814413,0.06069063775316996,7874
P4,59,1.3356565920987085,1.3695172712627295,1.399041352068926,0.06338475997021753,7874
P4,60,0.5281637414525719,0.6931588244111411,0.9613697383799985,0.43320599692742656,7874
P4,61,0.1826094712014552,0.2228433853794436,0.2885647925871455,0.1059553213856903,7874
P4,62,0.09817717308508599,0.108007510766048,0.12415400757338663,0.02597683448830064,7874
P4,63,0.07748455024089157,0.07998252248095195,0.08398081825454028,0.006496268013648707,7874
P4,64,0.07230814000515677,0.07316160559645091,0.07425767842472321,0.0019495384195664378,7874
P4,65,0.07250486948371593,0.0808535343104495,0.10223882810208187,0.029733958618365947,7874
P4,66,0.19374800628529806,0.24002358634773752,0.27581573430161876,0.0820677280163207,7874
P4,67,0.3258543956102194,0.35394364054325356,0.3759324101141239,0.05007801450390453,7874
P4,68,0.3953366912512929,0.41879944199549946,0.4383059362067018,0.04296924495540888,7874
P4,69,0.45065934715322237,0.47431854068539686,0.49437824287495796,0.043718895721735596,7874
P4,70,0.5055076336251203,0.530688849250931,0.5518960013505754,0.04638836772545507,7874
P4,71,0.5631994348475996,0.5899505051093158,0.6124853124914779,0.04928587764387826,7874
P4,72,0.6242706081638999,0.6527191739653635,0.6765866494583254,0.052316041294425464,7874
P4,73,0.688931914228085,0.719041938827621,0.7442153941405873,0.055283479912502376,7874
P4,74,0.7570887263616038,0.7889351503751731,0.8155105462655488,0.058421819903944905,7874
P4,75,0.828851688861802,0.8623591294418571,0.8904099024745715,0.061558213612769475,7874
P4,76,0.9041903872570652,0.9393704787065761,0.9688767831269346,0.06468639586986935,7874
P4,77,0.9831215320307927,1.019951928669138,1.0509951553562051,0.06787362332541247,7874
P4,78,1.0656953524994999,1.104121295275426,1.1366792354462798,0.07098388294677993,7874
P4,79,1.151800528289489,1.191863936471886,1.2260292913160444,0.07422876302655546,7874
P4,80,1.241603103683974,1.283230505155879,1.3189118323242526,0.07730872864027849,7874
P4,81,1.3347824665094583,1.378167072024041,1.4142623107684569,0.07947984425899857,7874
P4,82,0.4232641649996343,0.6138024828060926,0.9700987799733476,0.5468346149737133,7874
P4,83,0.1570784670813328,0.20360181778174305,0.29040810821075813,0.13332964112942533,7874
P4,84,0.09193349885909684,0.10333452443520219,0.124605664587149,0.03267216572805216,7874
P4,85,0.0759850522771893,0.07882945588580925,0.08407838351566195,0.008093331238472654,7874
P4,86,0.07195405576357676,0.07288699107753605,0.07425378540418269,0.0022997296406059298,7874
P4,87,0.07248524162972045,0.08888858318425795,0.13152195066796574,0.05903670903824529,7874
P4,88,0.19253710947329286,0.2553311885707573,0.30009336541411985,0.10755625594082699,7874
P4,89,0.3251891252027764,0.36130751308023723,0.3885045080158912,0.06331538281311483,7874
P4,90,0.3950662291069409,0.4242475744371129,0.44841829093571356,0.05335206182877267,7874
E2,55,0.02336071989754018,0.028445208145827898,0.0357632762973846,0.01240255639984442,7874
E2,56,0.012866017177075705,0.0133321403160291,0.01482381732719212,0.001957800150116415,7874
E2,57,0.03700532165145819,0.053330405322723304,0.07108493070780729,0.0340796090563491,7874
E2,58,0.13622066142654976,0.1621388898250768,0.18290810392587167,0.04668744249932191,7874
E2,59,0.2009470701681601,0.2110033965148982,0.21635714868125283,0.015410078513092729,7874
E2,60,0.09614557513435742,0.1141218461275069,0.13662229264560724,0.040476717511249816,7874
E2,61,0.0331352689229747,0.0405612623347827,0.051032141926927614,0.017896873003952915,7874
E2,62,0.01467218188578894,0.0152382909017847,0.01748479228471304,0.0028126103989241005,7874
E2,63,0.03870381997387101,0.07046846411138995,0.11666020383497674,0.07795638386110573,7874
E2,64,0.38349193641894724,0.55275349342817,0.7308320926740052,0.34734015625505793,7874
E2,65,1.21234022744857,1.3259609161076318,1.3598446492096883,0.14750442176111833,7874
E2,66,0.42833475571834567,0.5612195817556774,0.7599516938011132,0.3316169380827675,7874
