candidate,columns,n_columns,n_samples,mi_nats
Insulin_day_90,Insulin_day_90,1,7874,0.40239601866540653
Insulin_day_83,Insulin_day_83,1,7874,0.40239601866540653
Insulin_day_84,Insulin_day_84,1,7874,0.40239601866540653
Insulin_day_68,Insulin_day_68,1,7874,0.40239601866540653
Insulin_day_80,Insulin_day_80,1,7874,0.40239601866540653
Insulin_day_74,Insulin_day_74,1,7874,0.40239601866540653
Insulin_day_88,Insulin_day_88,1,7874,0.40239601866540653
Insulin_day_69,Insulin_day_69,1,7874,0.40239601866540653
Insulin_day_55,Insulin_day_55,1,7874,0.40239601866540653
Insulin_day_81,Insulin_day_81,1,7874,0.40239601866540653
Insulin_day_65,Insulin_day_65,1,7874,0.40239601866540653
Glucose_day_68,Glucose_day_68,1,7874,0.2871002439213548
Glucose_day_70,Glucose_day_70,1,7874,0.2871002439213548
Glucose_day_87,Glucose_day_87,1,7874,0.2871002439213548
Glucose_day_67,Glucose_day_67,1,7874,0.2871002439213548
Glucose_day_63,Glucose_day_63,1,7874,0.2871002439213548
Glucose_day_73,Glucose_day_73,1,7874,0.2871002439213548
Glucose_day_71,Glucose_day_71,1,7874,0.2871002439213548
Glucose_day_88,Glucose_day_88,1,7874,0.2871002439213548
Glucose_day_64,Glucose_day_64,1,7874,0.2871002439213548
Glucose_day_72,Glucose_day_72,1,7874,0.2871002439213548
Glucose_day_65,Glucose_day_65,1,7874,0.2871002439213548
Glucose_day_56,Glucose_day_56,1,7874,0.2871002439213548
Glucose_day_69,Glucose_day_69,1,7874,0.2871002439213548
Glucose_day_66,Glucose_day_66,1,7874,0.2871002439213548
Glucose_day_74,Glucose_day_74,1,7874,0.2871002439213548
Glucose_day_82,Glucose_day_82,1,7874,0.2871002439213548
Glucose_day_59,Glucose_day_59,1,7874,0.2871002439213548
Glucose_day_84,Glucose_day_84,1,7874,0.2871002439213548
Glucose_day_81,Glucose_day_81,1,7874,0.2871002439213548
Glucose_day_58,Glucose_day_58,1,7874,0.2871002439213548
Glucose_day_80,Glucose_day_80,1,7874,0.2871002439213548
Glucose_day_79,Glucose_day_79,1,7874,0.2871002439213548
Glucose_day_60,Glucose_day_60,1,7874,0.2871002439213548
Glucose_day_75,Glucose_day_75,1,7874,0.2871002439213548
Glucose_day_85,Glucose_day_85,1,7874,0.2871002439213548
Glucose_day_90,Glucose_day_90,1,7874,0.2871002439213548
Glucose_day_83,Glucose_day_83,1,7874,0.2871002439213548
Glucose_day_78,Glucose_day_78,1,7874,0.2871002439213548
Glucose_day_77,Glucose_day_77,1,7874,0.2871002439213548
Glucose_day_61,Glucose_day_61,1,7874,0.2871002439213548
Glucose_day_89,Glucose_day_89,1,7874,0.2871002439213548
Glucose_day_57,Glucose_day_57,1,7874,0.2871002439213548
Glucose_day_86,Glucose_day_86,1,7874,0.2871002439213548
Glucose_day_55,Glucose_day_55,1,7874,0.2871002439213548
Glucose_day_76,Glucose_day_76,1,7874,0.2871002439213548
Glucose_day_62,Glucose_day_62,1,7874,0.2871002439213548
P4_day_56,P4_day_56,1,7874,0.2744445526111736
FSH_day_57,FSH_day_57,1,7874,0.2725458533396843
P4_day_57,P4_day_57,1,7874,0.27246727919928304
P4_day_72,P4_day_72,1,7874,0.2724078439284483
P4_day_71,P4_day_71,1,7874,0.2710905637175909
P4_day_55,P4_day_55,1,7874,0.2710566664140508
P4_day_69,P4_day_69,1,7874,0.27102573589132284
P4_day_73,P4_day_73,1,7874,0.27051718196890384
P4_day_70,P4_day_70,1,7874,0.26909791462854926
FSH_day_79,FSH_day_79,1,7874,0.26885861937461897
INH_day_59,INH_day_59,1,7874,0.26864318734588366
P4_day_58,P4_day_58,1,7874,0.26656996851760795
P4_day_74,P4_day_74,1,7874,0.2663525431387228
P4_day_59,P4_day_59,1,7874,0.26452546411106326
P4_day_75,P4_day_75,1,7874,0.2632741054022798
P4_day_68,P4_day_68,1,7874,0.2613904772048805
P4_day_76,P4_day_76,1,7874,0.2609415024273929
IGF1_day_70,IGF1_day_70,1,7874,0.25979583377005966
P4_day_81,P4_day_81,1,7874,0.25911656368544556
P4_day_77,P4_day_77,1,7874,0.2584971447012485
P4_day_90,P4_day_90,1,7874,0.2578990333171358
P4_day_78,P4_day_78,1,7874,0.25460707451488673
P4_day_79,P4_day_79,1,7874,0.253294201922742
IGF1_day_68,IGF1_day_68,1,7874,0.2531771067242019
P4_day_89,P4_day_89,1,7874,0.25117805968903006
P4_day_80,P4_day_80,1,7874,0.2507975543426664
PGF_day_75,PGF_day_75,1,7874,0.25056990016379643
P4_day_67,P4_day_67,1,7874,0.24944148012481016
IGF1_day_69,IGF1_day_69,1,7874,0.24899272315929188
IGF1_day_90,IGF1_day_90,1,7874,0.24732818007642088
FSH_day_68,FSH_day_68,1,7874,0.2468937119615191
IGF1_day_85,IGF1_day_85,1,7874,0.24405197598037276
INH_day_74,INH_day_74,1,7874,0.23962149482303552
FSH_day_90,FSH_day_90,1,7874,0.2346952715453039
IGF1_day_71,IGF1_day_71,1,7874,0.23392945544342147
IGF1_day_84,IGF1_day_84,1,7874,0.23379259934754693
FSH_day_82,FSH_day_82,1,7874,0.23333059968506653
E2_day_74,E2_day_74,1,7874,0.23272599051192167
IGF1_day_63,IGF1_day_63,1,7874,0.22822751416813247
IGF1_day_83,IGF1_day_83,1,7874,0.22768491095940568
IGF1_day_89,IGF1_day_89,1,7874,0.22747850490219967
FSH_day_72,FSH_day_72,1,7874,0.2267199662665913
P4_day_84,P4_day_84,1,7874,0.22671603372494964
IGF1_day_67,IGF1_day_67,1,7874,0.22596459412732628
P4_day_88,P4_day_88,1,7874,0.22565005628809587
PGF_day_83,PGF_day_83,1,7874,0.22524517834748536
P4_day_82,P4_day_82,1,7874,0.22459741309326198
PGF_day_81,PGF_day_81,1,7874,0.22396451123780992
INH_day_73,INH_day_73,1,7874,0.22365653319898193
IGF1_day_62,IGF1_day_62,1,7874,0.22355534459119752
IGF1_day_72,IGF1_day_72,1,7874,0.2220516265589083
PGF_day_84,PGF_day_84,1,7874,0.22191164887990134
P4_day_62,P4_day_62,1,7874,0.22185946696829895
P4_day_66,P4_day_66,1,7874,0.22178986466669848
P4_day_83,P4_day_83,1,7874,0.22160664133626007
P4_day_60,P4_day_60,1,7874,0.22065878451945586
PGF_day_85,PGF_day_85,1,7874,0.21885932953789755
E2_day_70,E2_day_70,1,7874,0.21873880270967128
PGF_day_87,PGF_day_87,1,7874,0.21847308148190336
PGF_day_59,PGF_day_59,1,7874,0.2182939062538125
IGF1_day_64,IGF1_day_64,1,7874,0.21828928811486925
E2_day_73,E2_day_73,1,7874,0.2182841793044723
P4_day_61,P4_day_61,1,7874,0.2178275934155014
PGF_day_88,PGF_day_88,1,7874,0.2165978487106024
INH_day_88,INH_day_88,1,7874,0.21649857446116094
IGF1_day_86,IGF1_day_86,1,7874,0.2163131888863994
PGF_day_86,PGF_day_86,1,7874,0.21628117878060849
