admissible,penalty,min_correlation,max_average_difference,max_norm_difference,worst_species
True,0.0,0.9784189790133077,0.23268829848713332,0.1187358129990028,FSH
True,0.0,0.9674101118005436,0.19961619757866575,0.01874479273274715,FSH
True,0.0,0.9973364060929478,0.06433788671965421,0.012286284913786857,FSH
True,0.0,0.9885372542992812,0.14863833223918996,0.05739320799310423,FSH
True,0.0,0.9780287958225014,0.24115016342146048,0.12402979342415679,FSH
True,0.0,0.9891530161347692,0.12362030410620137,0.022305195765362985,FSH
True,0.0,0.9959957259065464,0.10847318387452363,0.059625917498666914,FSH
True,0.0,0.972463284403407,0.280068766344309,0.1179174630383996,FSH
True,0.0,0.9786432585974134,0.23496089888602978,0.12866543874373917,FSH
False,11.960068735541263,0.7707605610361016,0.6397699400637379,0.10263941681437641,PGF
False,0.9567214968657209,0.8830236500467628,0.39781214121292513,0.08232776313579067,PGF
True,0.0,0.9840321801653711,0.20413482565698396,0.09977464033965527,FSH
False,1.5978791500712586,0.868593489348092,0.426407244652799,0.0666540673427442,PGF
True,0.0,0.9891265414485905,0.17296779200332904,0.09566897977994346,FSH
True,0.0,0.9989636544244583,0.06213503450475436,0.0434180271609049,FSH
True,0.0,0.9941386050033016,0.10568292508188978,0.03579630249073698,FSH
True,0.0,0.9791489346825659,0.17628315635063066,0.0367768436872409,FSH
True,0.0,0.9940077280080996,0.08787388414762054,0.019372354301104778,FSH
True,0.0,0.99511018828373,0.10348592617002525,0.04738424269814349,FSH
True,0.0,0.9690061861595367,0.20028147042236424,0.02079943998327635,FSH
False,3.561825801761457,0.8411499963328175,0.4887280000890556,0.10764608387148521,PGF
True,0.0,0.9572980865658232,0.23751148628291827,0.021469641002443026,FSH
True,0.0,0.9975984397417067,0.06188674933747596,0.01144804489541333,FSH
False,3.1389684444229253,0.845960181086745,0.47717134205121675,0.11184970522839939,PGF
True,0.0,0.9944455146250292,0.09041232315168458,0.02391043552783334,FSH
False,0.09096815194442123,0.9694463908382752,0.33016092703224176,0.1836906755724963,PGF
True,0.0,0.9933758495865214,0.11491669565508189,0.046871322124878885,FSH
True,0.0,0.9816533119143871,0.2245431711021399,0.10551595190746783,FSH
False,0.16205659397954775,0.9087579116837013,0.34025625342472243,0.05656594539813297,PGF
