biomarker,parameter,prcc,abs_prcc,samples
INH,blood_usage_glucose_threshold,-0.8807385236363459,0.8807385236363459,7874
INH,follicle_to_inhibin_scale,0.766067259045385,0.766067259045385,7874
INH,follicle_to_e2_scale,-0.6494739481614481,0.6494739481614481,7874
INH,insulin_lh_threshold,0.5795044924946718,0.5795044924946718,7874
INH,blood_to_liver_glucose_threshold,-0.516520834801033,0.516520834801033,7874
INH,hp_fsh_follicle_scale,0.4768448870391994,0.4768448870391994,7874
INH,hp_e2_1_threshold,0.4698494947589519,0.4698494947589519,7874
INH,e2_clearance,0.4395474089030517,0.4395474089030517,7874
INH,igf_clearance,0.43185008588502,0.43185008588502,7874
Insulin,insulin_glucose_threshold,-0.9809883228462427,0.9809883228462427,7874
Insulin,blood_usage_glucose_threshold,0.9645273867441764,0.9645273867441764,7874
Insulin,blood_to_liver_glucose_threshold,0.7752308133232063,0.7752308133232063,7874
Insulin,insulin_clearance,-0.6800302771418995,0.6800302771418995,7874
Insulin,insulin_secretion_max,0.6798373220017507,0.6798373220017507,7874
Insulin,blood_usage_max,-0.551920322674343,0.551920322674343,7874
Insulin,hepatic_glucose_release,0.4919839222344438,0.4919839222344438,7874
Insulin,glucagon_clearance,-0.4916525650081581,0.4916525650081581,7874
Insulin,glucagon_secretion_max,0.48944081445995374,0.48944081445995374,7874
Insulin,liver_usage_rate,-0.485153707222404,0.485153707222404,7874
P4,insulin_glucose_threshold,-0.6086847630542416,0.6086847630542416,7874
P4,cl_to_p4_scale,0.5778730691664976,0.5778730691664976,7874
P4,cl_formation_scale,0.49436957066391274,0.49436957066391274,7874
P4,blood_usage_glucose_threshold,0.4815551926696645,0.4815551926696645,7874
P4,inhibin_clearance,-0.4294814935442475,0.4294814935442475,7874
P4,hp_cl_self_scale,0.42495620578257337,0.42495620578257337,7874
P4,p4_clearance,-0.42156926833874464,0.42156926833874464,7874
P4,hp_fsh_follicle_scale,0.40329198350156903,0.40329198350156903,7874
P4,hp_p4_follicle_threshold,0.329376577286546,0.329376577286546,7874
P4,follicle_to_e2_scale,-0.30142581035456695,0.30142581035456695,7874
PGF,inhibin_clearance,-0.28956838665723134,0.28956838665723134,7874
PGF,hp_p4_follicle_scale,-0.27955011510346384,0.27955011510346384,7874
PGF,insulin_glucose_threshold,0.25614483523423753,0.25614483523423753,7874
PGF,blood_usage_glucose_threshold,-0.18263939907943139,0.18263939907943139,7874
PGF,hp_fsh_follicle_scale,0.17983178762523042,0.17983178762523042,7874
PGF,hm_follicle_threshold,-0.17467432456902496,0.17467432456902496,7874
PGF,fsh_clearance,-0.1255669854690638,0.1255669854690638,7874
PGF,fsh_basal_release,-0.10266454652072737,0.10266454652072737,7874
PGF,pg_clearance,-0.07459187737743042,0.07459187737743042,7874
PGF,insulin_secretion_max,-0.07384608491262386,0.07384608491262386,7874
