biomarker,parameter,prcc,abs_prcc,samples,identifiability_class,spearman_rho,abs_spearman_rho
P4,lh_basal_release,-0.0033514029603401913,0.0033514029603401913,7874,Weak/flat,0.0063774678423532,0.0063774678423532
P4,hp_p4_follicle_scale,-0.26201431121076724,0.26201431121076724,7874,Practically identifiable,-0.1441700688205983,0.1441700688205983
P4,hp_iof_threshold,0.041879397803618275,0.041879397803618275,7874,Boundary-limited,0.033272029099434317,0.033272029099434317
P4,inhibin_clearance,-0.4294814935442475,0.4294814935442475,7874,Practically identifiable,-0.3241697924039882,0.3241697924039882
P4,insulin_igf_threshold,-0.0124961852609326,0.0124961852609326,7874,Weak/flat,0.0010210043977393515,0.0010210043977393515
P4,feed_direct_blood_fraction,0.0036071943645420938,0.0036071943645420938,7874,Weak/flat,-0.009849194318724564,0.009849194318724564
P4,blood_to_liver_glucose_threshold,0.17655231276930172,0.17655231276930172,7874,Boundary-limited,0.030999354185507137,0.030999354185507137
P4,insulin_glucose_threshold,-0.6086847630542416,0.6086847630542416,7874,Practically identifiable,-0.3533315924943258,0.3533315924943258
E2,gnrh_clearance,0.07633438298270695,0.07633438298270695,7874,Boundary-limited,0.008657205418515886,0.008657205418515886
E2,lh_basal_release,0.026928129784787227,0.026928129784787227,7874,Weak/flat,0.010410377150633997,0.010410377150633997
E2,hp_p4_follicle_scale,-0.3903459750276189,0.3903459750276189,7874,Practically identifiable,0.011926825454492846,0.011926825454492846
E2,hp_iof_threshold,-0.012696933425555484,0.012696933425555484,7874,Boundary-limited,-0.013005734698301427,0.013005734698301427
E2,inhibin_clearance,-0.6861688486218066,0.6861688486218066,7874,Practically identifiable,0.07566129838429649,0.07566129838429649
E2,insulin_igf_threshold,0.128087669939009,0.128087669939009,7874,Weak/flat,0.005964958886762444,0.005964958886762444
E2,feed_direct_blood_fraction,-0.04979094621901113,0.04979094621901113,7874,Weak/flat,0.002550043130679065,0.002550043130679065
E2,blood_to_liver_glucose_threshold,-0.7240042850268517,0.7240042850268517,7874,Boundary-limited,-0.08755964966485284,0.08755964966485284
E2,insulin_glucose_threshold,0.974239053083318,0.974239053083318,7874,Practically identifiable,0.6314765940105812,0.6314765940105812
INH,gnrh_clearance,0.06996983908429932,0.06996983908429932,7874,Boundary-limited,0.0031854182676508435,0.0031854182676508435
INH,lh_basal_release,0.021145064452440875,0.021145064452440875,7874,Weak/flat,0.02072163870736867,0.02072163870736867
INH,hp_p4_follicle_scale,0.3053918244313063,0.3053918244313063,7874,Practically identifiable,0.15627305567886768,0.15627305567886768
INH,hp_iof_threshold,0.0029737695184158647,0.0029737695184158647,7874,Boundary-limited,-0.014562166630094362,0.014562166630094362
INH,inhibin_clearance,-0.4028736173723621,0.4028736173723621,7874,Practically identifiable,0.10177332064776448,0.10177332064776448
INH,insulin_igf_threshold,0.10078702487790958,0.10078702487790958,7874,Weak/flat,0.012655332605494434,0.012655332605494434
INH,feed_direct_blood_fraction,-0.02880980504749934,0.02880980504749934,7874,Weak/flat,-0.0017354358036303426,0.0017354358036303426
INH,blood_to_liver_glucose_threshold,-0.516520834801033,0.516520834801033,7874,Boundary-limited,-0.060546185130692924,0.060546185130692924
INH,insulin_glucose_threshold,0.9307525175289996,0.9307525175289996,7874,Practically identifiable,0.5108841256804769,0.5108841256804769
IGF1,gnrh_clearance,-0.008032655976533281,0.008032655976533281,7874,Boundary-limited,0.0073499194821631236,0.0073499194821631236
IGF1,lh_basal_release,-0.008520998905929104,0.008520998905929104,7874,Weak/flat,-0.015335706711695764,0.015335706711695764
IGF1,hp_p4_follicle_scale,-0.1844103035338055,0.1844103035338055,7874,Practically identifiable,-0.09540366339823121,0.09540366339823121
